全国编号,地区编号,名称,属性,普通特性,隐藏特性,类别,身高,体重,捕获率,种族值
#0126,#014,鸭嘴火兽,火,火焰之躯,干劲,吐火宝可梦,1.3m,44.5kg,45,"['65', '95', '57', '100', '85', '93', '495']"
#0467,#015,鸭嘴炎兽,火,火焰之躯,干劲,爆炎宝可梦,1.6m,68.0kg,30,"['75', '95', '67', '125', '95', '83', '540']"
#0440,#016,小福蛋,一般,自然回复/天恩,友情防守,家家酒宝可梦,0.6m,24.4kg,130,"['100', '5', '5', '15', '65', '30', '220']"
#0113,#017,吉利蛋,一般,自然回复/天恩,治愈之心,蛋宝可梦,1.1m,34.6kg,30,"['250', '5', '5', '35', '105', '50', '450']"
#0242,#018,幸福蛋,一般,自然回复/天恩,治愈之心,幸福宝可梦,1.5m,46.8kg,30,"['255', '10', '10', '75', '135', '55', '540']"
#0123,#019,飞天螳螂,虫/飞行,蟲之預感/技术高手,不屈之心,螳螂宝可梦,1.5m,56.0kg,45,"['70', '110', '80', '55', '80', '105', '500']"
#0212,#020,巨钳螳螂,虫/钢,蟲之預感/技术高手,轻金属,钳子宝可梦,1.8m,118.0kg,25,"['70', '130', '100', '55', '80', '65', '500']"
#0900,#021,劈斧螳螂,虫/岩石,蟲之預感/强行,锋锐,斧钺宝可梦,1.8m,89.0kg,15,"['70', '135', '95', '45', '70', '85', '500']"
#0128,#022,肯泰罗,一般,威吓/愤怒穴位,强行,暴牛宝可梦,1.4m,88.4kg,45,"['75', '100', '95', '40', '70', '110', '490']"
#0522,#023,斑斑马,电,避雷针/电气引擎,食草,带电宝可梦,0.8m,29.8kg,190,"['45', '60', '32', '50', '32', '76', '295']"
#0523,#024,雷电斑马,电,避雷针/电气引擎,食草,雷电宝可梦,1.6m,79.5kg,75,"['75', '100', '63', '80', '63', '116', '497']"
#0203,#025,麒麟奇,一般/超能力,精神力/早起,食草,长颈宝可梦,1.5m,41.5kg,60,"['70', '80', '65', '90', '65', '85', '455']"
#0981,#026,奇麒麟,一般/超能力,反刍/尾甲,食草,长颈宝可梦,3.2m,160.0kg,45,"['120', '90', '70', '110', '70', '60', '520']"
#0551,#027,黑眼鳄,地面/恶,自信过度/威吓,愤怒穴位,沙漠鳄鱼宝可梦,0.7m,15.2kg,180,"['50', '72', '35', '35', '35', '65', '292']"
#0552,#028,混混鳄,地面/恶,自信过度/威吓,愤怒穴位,沙漠鳄鱼宝可梦,1.0m,33.4kg,90,"['60', '82', '45', '45', '45', '74', '351']"
#0553,#029,流氓鳄,地面/恶,自信过度/威吓,愤怒穴位,威吓宝可梦,1.5m,96.3kg,45,"['95', '117', '80', '65', '70', '92', '519']"
#0953,#030,虫滚泥,虫,复眼,蜕皮,滚动宝可梦,0.2m,1.0kg,190,"['41', '50', '60', '31', '58', '30', '270']"
#0954,#031,虫甲圣,虫/超能力,同步,心灵感应,滚动宝可梦,0.3m,3.5kg,45,"['75', '50', '85', '115', '100', '45', '470']"
#0627,#032,毛头小鹰,一般/飞行,锐利目光/强行,活力,雏鹰宝可梦,0.5m,10.5kg,190,"['70', '83', '50', '37', '50', '60', '350']"
#0628,#033,勇士雄鹰,一般/飞行,锐利目光/强行,不服输,勇猛宝可梦,1.5m,41.0kg,60,"['100', '123', '75', '57', '75', '80', '510']"
#0629,#034,秃鹰丫头,恶/飞行,健壮胸肌/防尘,碎裂铠甲,尿布宝可梦,0.5m,9.0kg,190,"['70', '55', '75', '45', '65', '60', '370']"
#0630,#035,秃鹰娜,恶/飞行,健壮胸肌/防尘,碎裂铠甲,骨鹰宝可梦,1.2m,39.5kg,60,"['110', '65', '105', '55', '95', '80', '510']"
#0667,#036,小狮狮,火/一般,斗争心/紧张感,自信过度,幼狮宝可梦,0.6m,13.5kg,220,"['62', '50', '58', '73', '54', '72', '369']"
#0668,#037,火炎狮,火/一般,緊張感/鬥爭心,自信过度,王者宝可梦,1.5m,81.5kg,65,"['86', '68', '72', '109', '66', '106', '507']"
#0585,#038,四季鹿,一般/草,叶绿素/食草,天恩,季节宝可梦,0.6m,19.5kg,190,"['60', '60', '50', '40', '50', '75', '335']"
#0586,#039,萌芽鹿,一般/草,叶绿素/食草,天恩,季节宝可梦,1.9m,92.5kg,75,"['80', '100', '70', '60', '70', '95', '475']"
#0235,#040,图图犬,一般,我行我素/技术高手,心情不定,画画宝可梦,1.2m,58.0kg,45,"['55', '20', '35', '20', '45', '75', '250']"
#0479,#041,洛托姆,电/幽灵,飘浮,,等离子宝可梦,0.3m,0.3kg,45,"['50', '50', '77', '95', '77', '91', '440']"
#0868,#042,小仙奶,妖精,甜幕,芳香幕,鲜奶油宝可梦,0.2m,0.3kg,200,"['45', '40', '40', '50', '61', '34', '270']"
#0869,#043,霜奶仙,妖精,甜幕,芳香幕,鲜奶油宝可梦,0.3m,0.5kg,100,"['65', '60', '75', '110', '121', '64', '495']"
#0328,#044,大颚蚁,地面,沙穴/怪力钳,强行,蚁狮宝可梦,0.7m,15.0kg,255,"['45', '100', '45', '45', '45', '10', '290']"
#0329,#045,超音波幼虫,地面/龙,飘浮,,震动宝可梦,1.1m,15.3kg,120,"['50', '70', '50', '50', '50', '70', '340']"
#0330,#046,沙漠蜻蜓,地面/龙,飘浮,,神秘宝可梦,2.0m,82.0kg,45,"['80', '100', '80', '80', '80', '100', '520']"
#0731,#047,小笃儿,一般/飞行,連續攻擊/銳利目光,捡拾,啄木鸟宝可梦,0.3m,1.2kg,255,"['35', '75', '30', '30', '30', '65', '265']"
#0732,#048,喇叭啄鸟,一般/飞行,锐利目光/连续攻击,捡拾,喇叭喙宝可梦,0.6m,14.8kg,120,"['55', '85', '50', '40', '50', '75', '355']"
#0733,#049,铳嘴大鸟,一般/飞行,锐利目光/连续攻击,强行,铳炮宝可梦,1.1m,26.0kg,45,"['80', '120', '75', '75', '75', '60', '485']"
#0072,#050,玛瑙水母,水/毒,污泥浆/恒净之躯,雨盘,水母宝可梦,0.9m,45.5kg,190,"['40', '40', '35', '50', '100', '70', '335']"
#0073,#051,毒刺水母,水/毒,污泥浆/恒净之躯,雨盘,水母宝可梦,1.6m,55.0kg,60,"['80', '70', '65', '80', '120', '100', '515']"
#0116,#052,墨海马,水,悠游自如/狙击手,湿气,龙宝可梦,0.4m,8.0kg,225,"['30', '40', '70', '70', '25', '60', '295']"
#0117,#053,海刺龙,水,毒刺/狙击手,湿气,龙宝可梦,1.2m,25.0kg,75,"['55', '65', '95', '95', '45', '85', '440']"
#0230,#054,刺龙王,水/龙,悠游自如/狙击手,湿气,龙宝可梦,1.8m,152.0kg,45,"['75', '95', '95', '95', '95', '85', '540']"
#0779,#055,磨牙彩皮鱼,水/超能力,强壮之颚/鮮艷之軀,奇迹皮肤,磨牙宝可梦,0.9m,19.0kg,80,"['68', '105', '70', '70', '70', '92', '475']"
#0546,#056,木棉球,草/妖精,穿透/恶作剧之心,叶绿素,棉球宝可梦,0.3m,0.6kg,190,"['40', '27', '60', '37', '50', '66', '280']"
#0547,#057,风妖精,草/妖精,穿透/恶作剧之心,叶绿素,风隐宝可梦,0.7m,6.6kg,75,"['60', '67', '85', '77', '75', '116', '480']"
#0764,#058,花疗环环,妖精,先行治疗/花幕,自然回复,摘花宝可梦,0.1m,0.3kg,60,"['51', '52', '90', '82', '110', '100', '485']"
#0287,#059,懒人獭,一般,懒惰,,懒人宝可梦,0.8m,24.0kg,255,"['60', '60', '60', '35', '35', '30', '280']"
#0288,#060,过动猿,一般,干劲,,暴猿宝可梦,1.4m,46.5kg,120,"['80', '80', '80', '55', '55', '90', '440']"
#0289,#061,请假王,一般,懒惰,,怕麻烦宝可梦,2.0m,130.5kg,45,"['150', '160', '100', '95', '65', '100', '670']"
#0043,#062,走路草,草/毒,叶绿素,逃跑,杂草宝可梦,0.5m,5.4kg,255,"['45', '50', '55', '75', '65', '30', '320']"
#0044,#063,臭臭花,草/毒,叶绿素,恶臭,杂草宝可梦,0.8m,8.6kg,120,"['60', '65', '70', '85', '75', '40', '395']"
#0045,#064,霸王花,草/毒,叶绿素,孢子,花宝可梦,1.2m,18.6kg,45,"['75', '80', '85', '110', '90', '50', '490']"
#0182,#065,美丽花,草,叶绿素,治愈之心,花宝可梦,0.4m,5.8kg,45,"['75', '80', '95', '90', '100', '50', '490']"
#0050,#066,地鼠,地面/钢,沙隐/沙穴,沙之力,鼹鼠宝可梦,0.2m,0.8kg,255,"['10', '55', '25', '35', '45', '95', '265']"
#0051,#067,三地鼠,地面/钢,沙隐/沙穴,沙之力,鼹鼠宝可梦,0.7m,33.3kg,50,"['35', '100', '50', '50', '70', '120', '425']"
#0088,#068,臭泥,毒/恶,黏着/恶臭,毒手,污泥宝可梦,0.9m,30.0kg,190,"['80', '80', '50', '40', '50', '25', '325']"
#0089,#069,臭臭泥,毒/恶,黏着/恶臭,毒手,污泥宝可梦,1.2m,30.0kg,75,"['105', '105', '75', '65', '100', '50', '500']"
#0335,#070,猫鼬斩,一般,免疫,中毒激升,猫鼬宝可梦,1.3m,40.3kg,90,"['73', '115', '60', '60', '60', '90', '458']"
#0336,#071,饭匙蛇,毒,蜕皮,穿透,牙蛇宝可梦,2.7m,52.5kg,90,"['73', '100', '60', '100', '60', '65', '458']"
#0739,#072,好胜蟹,格斗,铁拳/怪力钳,愤怒穴位,拳斗宝可梦,0.6m,7.0kg,225,"['47', '82', '57', '42', '47', '63', '338']"
#0740,#073,好胜毛蟹,格斗/冰,铁拳/怪力钳,愤怒穴位,毛蟹宝可梦,1.7m,180.0kg,60,"['97', '132', '77', '62', '67', '43', '478']"
#0741,#074,花舞鸟,超能力/飞行,舞者,,舞蹈宝可梦,0.6m,3.4kg,45,"['75', '70', '70', '98', '70', '93', '476']"
#0079,#075,呆呆兽,超能力,我行我素/迟钝,再生力,憨憨宝可梦,1.2m,36.0kg,190,"['90', '65', '65', '40', '40', '15', '315']"
#0080,#076,呆壳兽,毒/超能力,我行我素/迟钝,再生力,寄居蟹宝可梦,1.6m,78.5kg,75,"['95', '75', '110', '100', '80', '30', '490']"
#0199,#077,呆呆王,毒/超能力,我行我素/迟钝,再生力,王者宝可梦,2.0m,79.5kg,70,"['95', '75', '80', '100', '110', '30', '490']"
#0170,#078,灯笼鱼,水/电,蓄电/发光,储水,琵琶鱼宝可梦,0.5m,12.0kg,190,"['75', '38', '38', '56', '56', '67', '330']"
#0171,#079,电灯怪,水/电,蓄电/发光,储水,灯宝可梦,1.2m,22.5kg,75,"['125', '58', '58', '76', '76', '67', '460']"
#0686,#080,好啦鱿,恶/超能力,唱反调/吸盘,穿透,回转宝可梦,0.4m,3.5kg,190,"['53', '54', '53', '37', '46', '45', '288']"
#0687,#081,乌贼王,恶/超能力,唱反调/吸盘,穿透,倒转宝可梦,1.5m,47.0kg,80,"['86', '92', '88', '68', '75', '73', '482']"
#0370,#082,爱心鱼,水,悠游自如,湿润之躯,相随宝可梦,0.6m,8.7kg,225,"['43', '30', '55', '40', '65', '97', '330']"
#0456,#083,荧光鱼,水,悠游自如/引水,水幕,飞翅鱼宝可梦,0.4m,7.0kg,190,"['49', '49', '56', '49', '61', '66', '330']"
#0457,#084,霓虹鱼,水,悠游自如/引水,水幕,霓虹宝可梦,1.2m,24.0kg,75,"['69', '69', '76', '69', '86', '91', '460']"
#0594,#085,保姆曼波,水,治愈之心/湿润之躯,再生力,看护宝可梦,1.2m,31.6kg,75,"['165', '75', '80', '40', '45', '65', '470']"
#0324,#086,煤炭龟,火,白色煙霧/日照,硬壳盔甲,煤炭宝可梦,0.5m,80.4kg,90,"['70', '85', '140', '85', '70', '20', '470']"
#0661,#087,小箭雀,一般/飞行,健壮胸肌,疾风之翼,知更鸟宝可梦,0.3m,1.7kg,255,"['45', '50', '43', '40', '38', '62', '278']"
#0662,#088,火箭雀,火/飞行,火焰之軀,疾风之翼,火花宝可梦,0.7m,16.0kg,120,"['62', '73', '55', '56', '52', '84', '382']"
#0663,#089,烈箭鹰,火/飞行,火焰之躯,疾风之翼,烈火宝可梦,1.2m,24.5kg,45,"['78', '81', '71', '74', '69', '126', '499']"
#0751,#090,滴蛛,水/虫,水泡,储水,水泡宝可梦,0.3m,4.0kg,200,"['38', '40', '52', '40', '72', '27', '269']"
#0752,#091,滴蛛霸,水/虫,水泡,储水,水泡宝可梦,1.8m,82.0kg,100,"['68', '70', '92', '50', '132', '42', '454']"
#0236,#092,无畏小子,格斗,毅力/不屈之心,干劲,打斗宝可梦,0.7m,21.0kg,75,"['35', '35', '35', '35', '35', '35', '210']"
#0106,#093,飞腿郎,格斗,柔软/舍身,轻装,踢腿宝可梦,1.5m,49.8kg,45,"['50', '120', '53', '35', '110', '87', '455']"
#0107,#094,快拳郎,格斗,锐利目光/铁拳,精神力,拳击宝可梦,1.4m,50.2kg,45,"['50', '105', '79', '35', '110', '76', '455']"
#0237,#095,战舞郎,格斗,威吓/技术高手,不屈之心,倒立宝可梦,1.4m,48.0kg,45,"['50', '95', '95', '35', '110', '70', '455']"
#0074,#096,小拳石,岩石/电,坚硬脑袋/结实,沙隐,岩石宝可梦,0.4m,20.0kg,255,"['40', '80', '100', '30', '30', '20', '300']"
#0075,#097,隆隆石,岩石/电,坚硬脑袋/结实,沙隐,岩石宝可梦,1.0m,105.0kg,120,"['55', '95', '115', '45', '45', '35', '390']"
#0076,#098,隆隆岩,岩石/电,坚硬脑袋/结实,沙隐,重量级宝可梦,1.4m,300.0kg,45,"['80', '120', '130', '55', '65', '45', '495']"
#0529,#099,螺钉地鼠,地面,沙之力/拨沙,破格,鼹鼠宝可梦,0.3m,8.5kg,120,"['60', '85', '40', '30', '45', '68', '328']"
#0530,#100,龙头地鼠,地面/钢,沙之力/拨沙,破格,地底宝可梦,0.7m,40.4kg,60,"['110', '135', '60', '50', '65', '88', '508']"
#0574,#101,哥德宝宝,超能力,察觉/好胜,踩影,凝视宝可梦,0.4m,5.8kg,200,"['45', '30', '50', '55', '65', '45', '290']"
#0575,#102,哥德小童,超能力,好勝/察觉,踩影,操纵宝可梦,0.7m,18.0kg,100,"['60', '45', '70', '75', '85', '55', '390']"
#0576,#103,哥德小姐,超能力,好勝/察觉,踩影,天体宝可梦,1.5m,44.0kg,50,"['70', '55', '95', '95', '110', '65', '490']"
#0677,#104,妙喵,超能力,穿透/锐利目光,我行我素,自制宝可梦,0.3m,3.5kg,190,"['62', '48', '54', '63', '60', '68', '355']"
#0678,#105,超能妙喵,超能力,穿透/锐利目光,恶作剧之心,抑制宝可梦,0.6m,8.5kg,75,"['74', '48', '76', '83', '81', '104', '466']"
#0774,#106,小陨星,岩石/飞行,界限盾壳,,流星宝可梦,0.3m,40.0kg,30,"['60', '60', '100', '60', '100', '60', '440']"
#0408,#107,头盖龙,岩石,破格,强行,头锤宝可梦,0.9m,31.5kg,45,"['67', '125', '40', '30', '30', '58', '350']"
#0409,#108,战槌龙,岩石,破格,强行,头锤宝可梦,1.6m,102.5kg,45,"['97', '165', '60', '65', '50', '58', '495']"
#0410,#109,盾甲龙,岩石/钢,结实,隔音,护盾宝可梦,0.5m,57.0kg,45,"['30', '42', '118', '42', '88', '30', '350']"
#0411,#110,护城龙,岩石/钢,结实,隔音,护盾宝可梦,1.3m,149.5kg,45,"['60', '52', '168', '47', '138', '30', '495']"
#0572,#111,泡沫栗鼠,一般,技术高手/迷人之躯,连续攻击,栗鼠宝可梦,0.4m,5.8kg,255,"['55', '50', '40', '40', '40', '75', '300']"
#0573,#112,奇诺栗鼠,一般,技术高手/迷人之躯,连续攻击,围巾宝可梦,0.5m,7.5kg,60,"['75', '95', '60', '65', '60', '115', '470']"
#0227,#113,盔甲鸟,钢/飞行,锐利目光/结实,碎裂铠甲,钢甲鸟宝可梦,1.7m,50.5kg,25,"['65', '80', '140', '40', '70', '70', '465']"
#0333,#114,青绵鸟,一般/飞行,自然回复,无关天气,绵鸟宝可梦,0.4m,1.2kg,255,"['45', '40', '60', '40', '75', '50', '310']"
#0334,#115,七夕青鸟,龙/飞行,自然回复,无关天气,哼唱宝可梦,1.1m,20.6kg,45,"['75', '70', '90', '70', '105', '80', '490']"
#0081,#116,小磁怪,电/钢,磁力/结实,分析,磁铁宝可梦,0.3m,6.0kg,190,"['25', '35', '70', '95', '55', '45', '325']"
#0082,#117,三合一磁怪,电/钢,磁力/结实,分析,磁铁宝可梦,1.0m,60.0kg,60,"['50', '60', '95', '120', '70', '70', '465']"
#0462,#118,自爆磁怪,电/钢,磁力/结实,分析,磁场宝可梦,1.2m,180.0kg,30,"['70', '70', '115', '130', '90', '60', '535']"
#0311,#119,正电拍拍,电,正电,避雷針,加油宝可梦,0.4m,4.2kg,200,"['60', '50', '40', '85', '75', '95', '405']"
#0312,#120,负电拍拍,电,负电,蓄電,加油宝可梦,0.4m,4.2kg,200,"['60', '40', '50', '75', '85', '95', '405']"
#0559,#121,滑滑小子,恶/格斗,自信过度/蜕皮,威吓,蜕皮宝可梦,0.6m,11.8kg,180,"['50', '75', '70', '35', '70', '48', '348']"
#0560,#122,头巾混混,恶/格斗,自信过度/蜕皮,威吓,恶党宝可梦,1.1m,30.0kg,90,"['65', '90', '115', '45', '115', '58', '488']"
#0622,#123,泥偶小人,地面/幽灵,笨拙/铁拳,无防守,魔像宝可梦,1.0m,92.0kg,190,"['59', '74', '50', '35', '50', '35', '303']"
#0623,#124,泥偶巨人,地面/幽灵,笨拙/铁拳,无防守,魔像宝可梦,2.8m,330.0kg,90,"['89', '124', '80', '55', '80', '55', '483']"
#0322,#125,呆火驼,火/地面,单纯/迟钝,我行我素,迟钝宝可梦,0.7m,24.0kg,255,"['60', '60', '40', '65', '45', '35', '305']"
#0323,#126,喷火驼,火/地面,坚硬岩石/熔岩铠甲,愤怒穴位,喷火宝可梦,1.9m,220.0kg,150,"['70', '100', '70', '105', '75', '40', '460']"
#0854,#127,来悲茶,幽灵,碎裂铠甲,诅咒之躯,红茶宝可梦,0.1m,0.2kg,120,"['40', '45', '45', '74', '54', '50', '308']"
#0855,#128,怖思壶,幽灵,碎裂铠甲,诅咒之躯,红茶宝可梦,0.2m,0.4kg,60,"['60', '65', '65', '134', '114', '70', '508']"
#0137,#129,多边兽,一般,复制/下载,分析,虚拟宝可梦,0.8m,36.5kg,45,"['65', '60', '70', '85', '75', '40', '395']"
#0233,#130,多边兽Ⅱ,一般,复制/下载,分析,虚拟宝可梦,0.6m,32.5kg,45,"['85', '80', '90', '105', '95', '60', '515']"
#0474,#131,多边兽乙型,一般,适应力/下载,分析,虚拟宝可梦,0.9m,34.0kg,30,"['85', '80', '70', '135', '75', '90', '535']"
#0595,#132,电电虫,虫/电,复眼/紧张感,蟲之預感,吸附宝可梦,0.1m,0.6kg,190,"['50', '47', '50', '57', '50', '65', '319']"
#0596,#133,电蜘蛛,虫/电,复眼/紧张感,蟲之預感,电蜘蛛宝可梦,0.8m,14.3kg,75,"['70', '77', '60', '97', '60', '108', '472']"
#0602,#134,麻麻小鱼,电,飘浮,,电鱼宝可梦,0.2m,0.3kg,190,"['35', '55', '40', '45', '40', '60', '275']"
#0603,#135,麻麻鳗,电,飘浮,,电鱼宝可梦,1.2m,22.0kg,60,"['65', '85', '70', '75', '70', '40', '405']"
#0604,#136,麻麻鳗鱼王,电,飘浮,,电鱼宝可梦,2.1m,80.5kg,30,"['85', '115', '80', '105', '80', '50', '515']"
#0374,#137,铁哑铃,钢/超能力,恒净之躯,轻金属,铁球宝可梦,0.6m,95.2kg,3,"['40', '55', '80', '35', '60', '30', '300']"
#0375,#138,金属怪,钢/超能力,恒净之躯,轻金属,铁爪宝可梦,1.2m,202.5kg,3,"['60', '75', '100', '55', '80', '50', '420']"
#0376,#139,巨金怪,钢/超能力,恒净之躯,轻金属,铁足宝可梦,1.6m,550.0kg,3,"['80', '135', '130', '95', '90', '70', '600']"
#0610,#140,牙牙,龙,斗争心/破格,紧张感,牙宝可梦,0.6m,18.0kg,75,"['46', '87', '60', '30', '40', '57', '320']"
#0611,#141,斧牙龙,龙,斗争心/破格,紧张感,颚斧宝可梦,1.0m,36.0kg,60,"['66', '117', '70', '40', '50', '67', '410']"
#0612,#142,双斧战龙,龙,斗争心/破格,紧张感,颚斧宝可梦,1.8m,105.5kg,45,"['76', '147', '90', '60', '70', '97', '540']"
#0086,#143,小海狮,水,厚脂肪/湿润之躯,冰冻之躯,海狮宝可梦,1.1m,90.0kg,190,"['65', '45', '55', '45', '70', '45', '325']"
#0087,#144,白海狮,水/冰,厚脂肪/湿润之躯,冰冻之躯,海狮宝可梦,1.7m,120.0kg,75,"['90', '70', '80', '70', '95', '70', '475']"
#0131,#145,拉普拉斯,水/冰,储水/硬壳盔甲,湿润之躯,乘载宝可梦,2.5m,220.0kg,45,"['130', '85', '80', '85', '95', '60', '535']"
#0211,#146,千针鱼,恶/毒,毒刺/悠游自如,威吓,气球宝可梦,0.5m,3.9kg,45,"['65', '95', '85', '55', '55', '85', '440']"
#0904,#147,万针鱼,恶/毒,毒刺/悠游自如,威吓,剑山宝可梦,2.5m,60.5kg,45,"['85', '115', '95', '65', '65', '85', '510']"
#0577,#148,单卵细胞球,超能力,防尘/魔法防守,再生力,细胞宝可梦,0.3m,1.0kg,200,"['45', '30', '40', '105', '50', '20', '290']"
#0578,#149,双卵细胞球,超能力,防尘/魔法防守,再生力,分割宝可梦,0.6m,8.0kg,100,"['65', '40', '50', '125', '60', '30', '370']"
#0579,#150,人造细胞卵,超能力,防尘/魔法防守,再生力,增幅宝可梦,1.0m,20.1kg,50,"['110', '65', '75', '125', '85', '30', '490']"
#0209,#151,布鲁,妖精,逃跑/威吓,胆怯,妖精宝可梦,0.6m,7.8kg,190,"['60', '80', '50', '40', '40', '30', '300']"
#0210,#152,布鲁皇,妖精,飞毛腿/威吓,胆怯,妖精宝可梦,1.4m,48.7kg,75,"['90', '120', '75', '60', '60', '45', '450']"
#0613,#153,喷嚏熊,冰,雪隐/拨雪,胆怯,结冰宝可梦,0.5m,8.5kg,120,"['55', '70', '40', '60', '40', '40', '305']"
#0614,#154,冻原熊,冰,雪隐/拨雪,悠游自如,冻结宝可梦,2.6m,260.0kg,60,"['95', '130', '80', '70', '80', '50', '505']"
#0027,#155,穿山鼠,冰/钢,沙隐,拨沙,鼠宝可梦,0.6m,12.0kg,255,"['50', '75', '85', '20', '30', '40', '300']"
#0028,#156,穿山王,冰/钢,沙隐,拨沙,鼠宝可梦,1.0m,29.5kg,90,"['75', '100', '110', '45', '55', '65', '450']"
#0037,#157,六尾,冰,引火,日照,狐狸宝可梦,0.6m,9.9kg,190,"['38', '41', '40', '50', '65', '65', '299']"
#0038,#158,九尾,冰/妖精,引火,日照,狐狸宝可梦,1.1m,19.9kg,75,"['73', '76', '75', '81', '100', '100', '505']"
#0459,#159,雪笠怪,草/冰,降雪,隔音,树冰宝可梦,1.0m,50.5kg,120,"['60', '62', '50', '62', '60', '40', '334']"
#0460,#160,暴雪王,草/冰,降雪,隔音,树冰宝可梦,2.2m,135.5kg,60,"['90', '92', '75', '92', '85', '60', '494']"
#0884,#161,铝钢龙,钢/龙,轻金属/重金属,坚毅,合金宝可梦,1.8m,40.0kg,45,"['70', '95', '115', '120', '50', '85', '535']"
#1018,#162,铝钢桥龙,钢/龙,持久力/结实,坚毅,合金宝可梦,2.0m,60.0kg,10,"['90', '105', '130', '125', '65', '85', '600']"
#1019,#163,蜜集大蛇,草/龙,再生力/甘露之蜜,黏着,苹果大蛇宝可梦,1.8m,93.0kg,10,"['106', '80', '110', '120', '80', '44', '540']"
#0001,#164,妙蛙种子,草/毒,茂盛,叶绿素,种子宝可梦,0.7m,6.9kg,45,"['45', '49', '49', '65', '65', '45', '318']"
#0002,#165,妙蛙草,草/毒,茂盛,叶绿素,种子宝可梦,1.0m,13.0kg,45,"['60', '62', '63', '80', '80', '60', '405']"
#0003,#166,妙蛙花,草/毒,茂盛,叶绿素,种子宝可梦,2.0m,100.0kg,45,"['80', '82', '83', '100', '100', '80', '525']"
#0004,#167,小火龙,火,猛火,太阳之力,蜥蜴宝可梦,0.6m,8.5kg,45,"['39', '52', '43', '60', '50', '65', '309']"
#0005,#168,火恐龙,火,猛火,太阳之力,火焰宝可梦,1.1m,19.0kg,45,"['58', '64', '58', '80', '65', '80', '405']"
#0006,#169,喷火龙,火/飞行,猛火,太阳之力,火焰宝可梦,1.7m,90.5kg,45,"['78', '84', '78', '109', '85', '100', '534']"
#0007,#170,杰尼龟,水,激流,雨盘,小龟宝可梦,0.5m,9.0kg,45,"['44', '48', '65', '50', '64', '43', '314']"
#0008,#171,卡咪龟,水,激流,雨盘,龟宝可梦,1.0m,22.5kg,45,"['59', '63', '80', '65', '80', '58', '405']"
#0009,#172,水箭龟,水,激流,雨盘,甲壳宝可梦,1.6m,85.5kg,45,"['79', '83', '100', '85', '105', '78', '530']"
#0152,#173,菊草叶,草,茂盛,叶子防守,叶子宝可梦,0.9m,6.4kg,45,"['45', '49', '65', '49', '65', '45', '318']"
#0153,#174,月桂叶,草,茂盛,叶子防守,叶子宝可梦,1.2m,15.8kg,45,"['60', '62', '80', '63', '80', '60', '405']"
#0154,#175,大竺葵,草,茂盛,叶子防守,芳草宝可梦,1.8m,100.5kg,45,"['80', '82', '100', '83', '100', '80', '525']"
#0155,#176,火球鼠,火,猛火,引火,火鼠宝可梦,0.5m,7.9kg,45,"['39', '52', '43', '60', '50', '65', '309']"
#0156,#177,火岩鼠,火,猛火,引火,火山宝可梦,0.9m,19.0kg,45,"['58', '64', '58', '80', '65', '80', '405']"
#0157,#178,火暴兽,火,猛火,引火,火山宝可梦,1.7m,79.5kg,45,"['78', '84', '78', '109', '85', '100', '534']"
