全国编号,地区编号,名称,属性,普通特性,隐藏特性,类别,身高,体重,捕获率,种族值
#0165,#074,芭瓢虫,虫/飞行,虫之预感/早起,胆怯,五星宝可梦,1.0m,10.8kg,255,"['40', '20', '30', '40', '80', '55', '265']"
#0166,#075,安瓢虫,虫/飞行,蟲之預感/早起,铁拳,五星宝可梦,1.4m,35.6kg,90,"['55', '35', '50', '55', '110', '85', '390']"
#0415,#076,三蜜蜂,虫/飞行,采蜜,活力,幼蜂宝可梦,0.3m,5.5kg,120,"['30', '30', '42', '30', '42', '70', '244']"
#0416,#077,蜂女王,虫/飞行,压迫感,紧张感,蜂巢宝可梦,1.2m,38.5kg,45,"['70', '80', '102', '80', '102', '40', '474']"
#0300,#078,向尾喵,一般,一般皮肤/迷人之躯,奇迹皮肤,小猫宝可梦,0.6m,11.0kg,255,"['50', '45', '45', '35', '35', '50', '260']"
#0301,#079,优雅猫,一般,一般皮肤/迷人之躯,奇迹皮肤,清高宝可梦,1.1m,32.6kg,60,"['70', '65', '65', '55', '55', '90', '400']"
#0001,#080,妙蛙种子,草/毒,茂盛,叶绿素,种子宝可梦,0.7m,6.9kg,45,"['45', '49', '49', '65', '65', '45', '318']"
#0002,#081,妙蛙草,草/毒,茂盛,叶绿素,种子宝可梦,1.0m,13.0kg,45,"['60', '62', '63', '80', '80', '60', '405']"
#0003,#082,妙蛙花,草/毒,茂盛,叶绿素,种子宝可梦,2.0m,100.0kg,45,"['80', '82', '83', '100', '100', '80', '525']"
#0004,#083,小火龙,火,猛火,太阳之力,蜥蜴宝可梦,0.6m,8.5kg,45,"['39', '52', '43', '60', '50', '65', '309']"
#0005,#084,火恐龙,火,猛火,太阳之力,火焰宝可梦,1.1m,19.0kg,45,"['58', '64', '58', '80', '65', '80', '405']"
#0006,#085,喷火龙,火/飞行,猛火,太阳之力,火焰宝可梦,1.7m,90.5kg,45,"['78', '84', '78', '109', '85', '100', '534']"
#0007,#086,杰尼龟,水,激流,雨盘,小龟宝可梦,0.5m,9.0kg,45,"['44', '48', '65', '50', '64', '43', '314']"
#0008,#087,卡咪龟,水,激流,雨盘,龟宝可梦,1.0m,22.5kg,45,"['59', '63', '80', '65', '80', '58', '405']"
#0009,#088,水箭龟,水,激流,雨盘,甲壳宝可梦,1.6m,85.5kg,45,"['79', '83', '100', '85', '105', '78', '530']"
#0672,#089,坐骑小羊,草,食草,草之毛皮,坐骑宝可梦,0.9m,31.0kg,200,"['66', '65', '48', '62', '57', '52', '350']"
#0673,#090,坐骑山羊,草,食草,草之毛皮,坐骑宝可梦,1.7m,91.0kg,45,"['123', '100', '62', '97', '81', '68', '531']"
#0674,#091,顽皮熊猫,格鬥,破格/铁拳,胆量,顽皮宝可梦,0.6m,8.0kg,220,"['67', '82', '62', '46', '48', '43', '348']"
#0675,#092,流氓熊猫,格鬥/惡,破格/铁拳,胆量,恶颜宝可梦,2.1m,136.0kg,65,"['95', '124', '78', '69', '71', '58', '495']"
#0676,#093,多丽米亚,一般,毛皮大衣,,贵宾犬宝可梦,1.2m,28.0kg,160,"['75', '80', '60', '65', '90', '102', '472']"
#0084,#094,嘟嘟,一般/飞行,逃跑/早起,蹒跚,两头鸟宝可梦,1.4m,39.2kg,190,"['35', '85', '45', '35', '35', '75', '310']"
#0085,#095,嘟嘟利,一般/飞行,逃跑/早起,蹒跚,三头鸟宝可梦,1.8m,85.2kg,45,"['60', '110', '70', '60', '60', '110', '470']"
#0311,#096,正电拍拍,电,正电,避雷針,加油宝可梦,0.4m,4.2kg,200,"['60', '50', '40', '85', '75', '95', '405']"
#0312,#097,负电拍拍,电,负电,蓄電,加油宝可梦,0.4m,4.2kg,200,"['60', '40', '50', '75', '85', '95', '405']"
#0316,#098,溶食兽,毒,污泥浆/黏着,贪吃鬼,胃袋宝可梦,0.4m,10.3kg,225,"['70', '43', '53', '43', '53', '40', '302']"
#0317,#099,吞食兽,毒,污泥浆/黏着,贪吃鬼,毒袋宝可梦,1.7m,80.0kg,75,"['100', '73', '83', '73', '83', '55', '467']"
#0559,#100,滑滑小子,惡/格斗,蜕皮/自信过度,威吓,蜕皮宝可梦,0.6m,11.8kg,180,"['50', '75', '70', '35', '70', '48', '348']"
#0560,#101,头巾混混,惡/格斗,蜕皮/自信过度,威吓,恶党宝可梦,1.1m,30.0kg,90,"['65', '90', '115', '45', '115', '58', '488']"
#0063,#102,凯西,超能力,精神力/同步,魔法防守,念力宝可梦,0.9m,19.5kg,200,"['25', '20', '15', '105', '55', '90', '310']"
#0064,#103,勇基拉,超能力,精神力/同步,魔法防守,念力宝可梦,1.3m,56.5kg,100,"['40', '35', '30', '120', '70', '105', '400']"
#0065,#104,胡地,超能力,精神力/同步,魔法防守,念力宝可梦,1.5m,48.0kg,50,"['55', '50', '45', '135', '95', '120', '500']"
#0043,#105,走路草,草/毒,叶绿素,逃跑,杂草宝可梦,0.5m,5.4kg,255,"['45', '50', '55', '75', '65', '30', '320']"
#0044,#106,臭臭花,草/毒,叶绿素,恶臭,杂草宝可梦,0.8m,8.6kg,120,"['60', '65', '70', '85', '75', '40', '395']"
#0045,#107,霸王花,草/毒,叶绿素,孢子,花宝可梦,1.2m,18.6kg,45,"['75', '80', '85', '110', '90', '50', '490']"
#0182,#108,美丽花,草,叶绿素,治愈之心,花宝可梦,0.4m,5.8kg,45,"['75', '80', '95', '90', '100', '50', '490']"
#0161,#109,尾立,一般,锐利目光/逃跑,察觉,放哨宝可梦,0.8m,6.0kg,255,"['35', '46', '34', '35', '45', '20', '215']"
#0162,#110,大尾立,一般,锐利目光/逃跑,察觉,长躯干宝可梦,1.8m,32.5kg,90,"['85', '76', '64', '45', '55', '90', '415']"
#0290,#111,土居忍士,虫/地面,复眼,逃跑,入门宝可梦,0.5m,5.5kg,255,"['31', '45', '90', '30', '30', '40', '266']"
#0291,#112,铁面忍者,虫/飞行,加速,穿透,忍者宝可梦,0.8m,12.0kg,120,"['61', '90', '45', '50', '50', '160', '456']"
#0292,#113,脱壳忍者,虫/幽灵,神奇守护,,空壳宝可梦,0.8m,1.2kg,45,"['1', '90', '45', '30', '30', '40', '236']"
#0677,#114,妙喵,超能力,锐利目光/穿透,我行我素,自制宝可梦,0.3m,3.5kg,190,"['62', '48', '54', '63', '60', '68', '355']"
#0678,#115,超能妙喵,超能力,锐利目光/穿透,恶作剧之心,抑制宝可梦,0.6m,8.5kg,75,"['74', '48', '76', '83', '81', '104', '466']"
#0352,#116,变隐龙,一般,变色,變幻自如,变色宝可梦,1.0m,22.0kg,200,"['60', '90', '70', '60', '120', '40', '440']"
#0679,#117,独剑鞘,鋼/幽靈,无防守,,刀剑宝可梦,0.8m,2.0kg,180,"['45', '80', '100', '35', '37', '28', '325']"
#0680,#118,双剑鞘,鋼/幽靈,无防守,,刀剑宝可梦,0.8m,4.5kg,90,"['59', '110', '150', '45', '49', '35', '448']"
#0681,#119,坚盾剑怪,鋼/幽靈,战斗切换,,王剑宝可梦,1.7m,53.0kg,45,"['60', '50', '140', '50', '140', '60', '500']"
#0543,#120,百足蜈蚣,虫/毒,蟲之預感/毒刺,加速,蜈蚣宝可梦,0.4m,5.3kg,255,"['30', '45', '59', '30', '39', '57', '260']"
#0544,#121,车轮球,虫/毒,蟲之預感/毒刺,加速,茧蜈蚣宝可梦,1.2m,58.5kg,120,"['40', '55', '99', '40', '79', '47', '360']"
#0545,#122,蜈蚣王,虫/毒,蟲之預感/毒刺,加速,巨蜈蚣宝可梦,2.5m,200.5kg,45,"['60', '100', '89', '55', '69', '112', '485']"
#0531,#123,差不多娃娃,一般,再生力/治愈之心,笨拙,听力宝可梦,1.1m,31.0kg,255,"['103', '60', '86', '60', '86', '50', '445']"
#0235,#124,图图犬,一般,技术高手/我行我素,心情不定,画画宝可梦,1.2m,58.0kg,45,"['55', '20', '35', '20', '45', '75', '250']"
#0453,#125,不良蛙,毒/格斗,危险预知/干燥皮肤,毒手,毒击宝可梦,0.7m,23.0kg,140,"['48', '61', '40', '61', '40', '50', '300']"
#0454,#126,毒骷蛙,毒/格斗,危险预知/干燥皮肤,毒手,毒击宝可梦,1.3m,44.4kg,75,"['83', '106', '65', '86', '65', '85', '490']"
#0580,#127,鸭宝宝,水/飞行,锐利目光/健壮胸肌,湿润之躯,水鸟宝可梦,0.5m,5.5kg,190,"['62', '44', '50', '44', '50', '55', '305']"
#0581,#128,舞天鹅,水/飞行,锐利目光/健壮胸肌,湿润之躯,白鸟宝可梦,1.3m,24.2kg,45,"['75', '87', '63', '87', '63', '98', '473']"
#0682,#129,粉香香,妖精,治愈之心,芳香幕,香水宝可梦,0.2m,0.5kg,200,"['78', '52', '60', '63', '65', '23', '341']"
#0683,#130,芳香精,妖精,治癒之心,芳香幕,芳香宝可梦,0.8m,15.5kg,140,"['101', '72', '72', '99', '89', '29', '462']"
#0684,#131,绵绵泡芙,妖精,甜幕,轻装,棉花糖宝可梦,0.4m,3.5kg,200,"['62', '48', '66', '59', '57', '49', '341']"
#0685,#132,胖甜妮,妖精,甜幕,轻装,泡沫奶油宝可梦,0.8m,5.0kg,140,"['82', '80', '86', '85', '75', '72', '480']"
#0313,#133,电萤虫,虫,发光/虫之预感,恶作剧之心,萤火虫宝可梦,0.7m,17.7kg,150,"['65', '73', '75', '47', '85', '85', '430']"
#0314,#134,甜甜萤,虫,有色眼镜/迟钝,恶作剧之心,萤火虫宝可梦,0.6m,17.7kg,150,"['65', '47', '75', '73', '85', '85', '430']"
#0187,#135,毽子草,草/飞行,叶绿素/叶子防守,穿透,棉草宝可梦,0.4m,0.5kg,255,"['35', '35', '40', '35', '55', '50', '250']"
#0188,#136,毽子花,草/飞行,叶绿素/叶子防守,穿透,棉草宝可梦,0.6m,1.0kg,120,"['55', '45', '50', '45', '65', '80', '340']"
#0189,#137,毽子棉,草/飞行,叶绿素/叶子防守,穿透,棉草宝可梦,0.8m,3.0kg,45,"['75', '55', '70', '55', '95', '110', '460']"
#0446,#138,小卡比兽,一般,捡拾/厚脂肪,贪吃鬼,大胃王宝可梦,0.6m,105.0kg,50,"['135', '85', '40', '40', '85', '5', '390']"
#0143,#139,卡比兽,一般,免疫/厚脂肪,贪吃鬼,瞌睡宝可梦,2.1m,460.0kg,25,"['160', '110', '65', '65', '110', '30', '540']"
#0293,#140,咕妞妞,一般,隔音,胆怯,细语宝可梦,0.6m,16.3kg,190,"['64', '51', '23', '51', '23', '28', '240']"
#0294,#141,吼爆弹,一般,隔音,胆量,大声宝可梦,1.0m,40.5kg,120,"['84', '71', '43', '71', '43', '48', '360']"
#0295,#142,爆音怪,一般,隔音,胆量,噪音宝可梦,1.5m,84.0kg,45,"['104', '91', '63', '91', '73', '68', '490']"
#0307,#143,玛沙那,格斗/超能力,瑜伽之力,心灵感应,冥想宝可梦,0.6m,11.2kg,180,"['30', '40', '55', '40', '55', '60', '280']"
#0308,#144,恰雷姆,格斗/超能力,瑜伽之力,心灵感应,冥想宝可梦,1.3m,31.5kg,90,"['60', '60', '75', '60', '75', '80', '410']"
#0041,#145,超音蝠,毒/飞行,精神力,穿透,蝙蝠宝可梦,0.8m,7.5kg,255,"['40', '45', '35', '30', '40', '55', '245']"
#0042,#146,大嘴蝠,毒/飞行,精神力,穿透,蝙蝠宝可梦,1.6m,55.0kg,90,"['75', '80', '70', '65', '75', '90', '455']"
#0169,#147,叉字蝠,毒/飞行,精神力,穿透,蝙蝠宝可梦,1.8m,75.0kg,90,"['85', '90', '80', '70', '80', '130', '535']"
#0610,#148,牙牙,龙,斗争心/破格,紧张感,牙宝可梦,0.6m,18.0kg,75,"['46', '87', '60', '30', '40', '57', '320']"
#0611,#149,斧牙龙,龙,斗争心/破格,紧张感,颚斧宝可梦,1.0m,36.0kg,60,"['66', '117', '70', '40', '50', '67', '410']"
#0612,#150,双斧战龙,龙,斗争心/破格,紧张感,颚斧宝可梦,1.8m,105.5kg,45,"['76', '147', '90', '60', '70', '97', '540']"
#0719,#151,蒂安希,岩石/妖精,恆淨之軀,,宝石宝可梦,0.7m,8.8kg,3,"['50', '100', '150', '100', '150', '50', '600']"
#0720,#152,胡帕,超能力/幽灵,魔术师,,顽童宝可梦,0.5m,9.0kg,3,"['80', '110', '60', '150', '130', '70', '600']"
#0721,#153,波尔凯尼恩,火/水,储水,,蒸汽宝可梦,1.7m,195.0kg,3,"['80', '110', '120', '130', '90', '70', '600']"
#0425,#001,飘飘球,幽灵/飞行,轻装/引爆,受热激升,气球宝可梦,0.4m,1.2kg,125,"['90', '50', '34', '60', '44', '70', '348']"
#0426,#002,随风球,幽灵/飞行,轻装/引爆,受热激升,热气球宝可梦,1.2m,15.0kg,60,"['150', '80', '44', '90', '54', '80', '498']"
#0619,#003,功夫鼬,格斗,再生力/精神力,舍身,武术宝可梦,0.9m,20.0kg,180,"['45', '85', '50', '55', '50', '65', '350']"
#0620,#004,师父鼬,格斗,再生力/精神力,舍身,武术宝可梦,1.4m,35.5kg,45,"['65', '125', '60', '95', '60', '105', '510']"
#0335,#005,猫鼬斩,一般,免疫,中毒激升,猫鼬宝可梦,1.3m,40.3kg,90,"['73', '115', '60', '60', '60', '90', '458']"
#0336,#006,饭匙蛇,毒,蜕皮,穿透,牙蛇宝可梦,2.7m,52.5kg,90,"['73', '100', '60', '100', '60', '65', '458']"
#0325,#007,跳跳猪,超能力,我行我素/厚脂肪,贪吃鬼,弹跳宝可梦,0.7m,30.6kg,255,"['60', '25', '35', '70', '80', '60', '330']"
#0326,#008,噗噗猪,超能力,我行我素/厚脂肪,贪吃鬼,操纵宝可梦,0.9m,71.5kg,60,"['80', '45', '65', '90', '110', '80', '470']"
#0359,#009,阿勃梭鲁,惡,超幸运/压迫感,正义之心,灾祸宝可梦,1.2m,47.0kg,30,"['65', '130', '60', '75', '60', '75', '465']"
#0686,#010,好啦鱿,惡/超能力,唱反调/吸盘,穿透,回转宝可梦,0.4m,3.5kg,190,"['53', '54', '53', '37', '46', '45', '288']"
#0687,#011,乌贼王,惡/超能力,唱反调/吸盘,穿透,倒转宝可梦,1.5m,47.0kg,80,"['86', '92', '88', '68', '75', '73', '482']"
#0337,#012,月石,岩石/超能力,飘浮,,陨石宝可梦,1.0m,168.0kg,45,"['90', '55', '65', '95', '85', '70', '460']"
#0338,#013,太阳岩,岩石/超能力,飘浮,,陨石宝可梦,1.2m,154.0kg,45,"['90', '95', '85', '55', '65', '70', '460']"
#0371,#014,宝贝龙,龙,坚硬脑袋,强行,坚硬脑袋宝可梦,0.6m,42.1kg,45,"['45', '75', '60', '40', '30', '50', '300']"
#0372,#015,甲壳龙,龙,坚硬脑袋,防尘,耐力宝可梦,1.1m,110.5kg,45,"['65', '95', '100', '60', '50', '50', '420']"
#0373,#016,暴飞龙,龙/飞行,威吓,自信过度,龙宝可梦,1.5m,102.6kg,45,"['95', '135', '80', '110', '80', '100', '600']"
#0278,#017,长翅鸥,水/飞行,锐利目光/湿润之躯,雨盘,海鸥宝可梦,0.6m,9.5kg,190,"['40', '30', '30', '55', '30', '85', '270']"
#0279,#018,大嘴鸥,水/飞行,锐利目光/降雨,雨盘,水鸟宝可梦,1.2m,28.0kg,45,"['60', '50', '100', '95', '70', '65', '440']"
#0276,#019,傲骨燕,一般/飞行,毅力,胆量,幼燕宝可梦,0.3m,2.3kg,200,"['40', '55', '30', '30', '30', '85', '270']"
#0277,#020,大王燕,一般/飞行,毅力,胆量,燕子宝可梦,0.7m,19.8kg,45,"['60', '85', '60', '75', '50', '125', '455']"
#0688,#021,龟脚脚,岩石/水,狙击手/硬爪,顺手牵羊,双手宝可梦,0.5m,31.0kg,120,"['42', '52', '67', '39', '56', '50', '306']"
#0689,#022,龟足巨铠,岩石/水,狙击手/硬爪,顺手牵羊,集合宝可梦,1.3m,96.0kg,45,"['72', '105', '115', '54', '86', '68', '500']"
#0557,#023,石居蟹,虫/岩石,硬壳盔甲/结实,碎裂铠甲,石居宝可梦,0.3m,14.5kg,190,"['50', '65', '85', '35', '35', '55', '325']"
#0558,#024,岩殿居蟹,虫/岩石,硬壳盔甲/结实,碎裂铠甲,岩居宝可梦,1.4m,200.0kg,75,"['70', '105', '125', '65', '75', '45', '485']"
#0072,#025,玛瑙水母,水/毒,污泥浆/恒净之躯,雨盘,水母宝可梦,0.9m,45.5kg,190,"['40', '40', '35', '50', '100', '70', '335']"
