全国编号,地区编号,名称,属性,普通特性,隐藏特性,类别,身高,体重,捕获率,种族值
#0425,#037,飘飘球,幽灵/飞行,引爆/轻装,受热激升,气球宝可梦,0.4m,1.2kg,125,"['90', '50', '34', '60', '44', '70', '348']"
#0426,#038,随风球,幽灵/飞行,引爆/轻装,受热激升,热气球宝可梦,1.2m,15.0kg,60,"['150', '80', '44', '90', '54', '80', '498']"
#0401,#039,圆法师,虫,蜕皮,逃跑,蟋蟀宝可梦,0.3m,2.2kg,255,"['37', '25', '41', '25', '41', '25', '194']"
#0402,#040,音箱蟀,虫,蟲之預感,技术高手,蟋蟀宝可梦,1.0m,25.5kg,45,"['77', '85', '51', '55', '51', '65', '384']"
#0418,#041,泳圈鼬,水,悠游自如,水幕,海鼬宝可梦,0.7m,29.5kg,190,"['55', '65', '35', '60', '30', '85', '330']"
#0419,#042,浮潜鼬,水,悠游自如,水幕,海鼬宝可梦,1.1m,33.5kg,75,"['85', '105', '55', '85', '50', '115', '495']"
#0412,#043,结草儿,虫,蜕皮,防尘,蓑衣虫宝可梦,0.2m,3.4kg,120,"['40', '29', '45', '29', '45', '36', '224']"
#0413,#044,结草贵妇,虫/草,危险预知,防尘,蓑衣虫宝可梦,0.5m,6.5kg,45,"['60', '59', '85', '79', '105', '36', '424']"
#0414,#045,绅士蛾,虫/飞行,虫之预感,有色眼镜,蓑衣蛾宝可梦,0.9m,23.3kg,45,"['70', '94', '50', '94', '50', '66', '424']"
#0074,#046,小拳石,岩石/地面,坚硬脑袋/结实,沙隐,岩石宝可梦,0.4m,20.0kg,255,"['40', '80', '100', '30', '30', '20', '300']"
#0075,#047,隆隆石,岩石/地面,坚硬脑袋/结实,沙隐,岩石宝可梦,1.0m,105.0kg,120,"['55', '95', '115', '45', '45', '35', '390']"
#0076,#048,隆隆岩,岩石/地面,坚硬脑袋/结实,沙隐,重量级宝可梦,1.4m,300.0kg,45,"['80', '120', '130', '55', '65', '45', '495']"
#0234,#049,惊角鹿,一般,威吓/察觉,食草,大角宝可梦,1.4m,71.2kg,45,"['73', '95', '62', '85', '65', '85', '465']"
#0899,#050,诡角鹿,一般/超能力,察覺/威嚇,食草,大角宝可梦,1.8m,95.1kg,45,"['103', '105', '72', '105', '75', '65', '525']"
#0446,#051,小卡比兽,一般,厚脂肪/捡拾,贪吃鬼,大胃王宝可梦,0.6m,105.0kg,50,"['135', '85', '40', '40', '85', '5', '390']"
#0143,#052,卡比兽,一般,免疫/厚脂肪,贪吃鬼,瞌睡宝可梦,2.1m,460.0kg,25,"['160', '110', '65', '65', '110', '30', '540']"
#0046,#053,派拉斯,虫/草,干燥皮肤/孢子,湿气,蘑菇宝可梦,0.3m,5.4kg,190,"['35', '70', '55', '45', '55', '25', '285']"
#0047,#054,派拉斯特,虫/草,干燥皮肤/孢子,湿气,蘑菇宝可梦,1.0m,29.5kg,75,"['60', '95', '80', '60', '80', '30', '405']"
#0172,#055,皮丘,电,静电,避雷针,小鼠宝可梦,0.3m,2.0kg,190,"['20', '40', '15', '35', '35', '60', '205']"
#0025,#056,皮卡丘,电,静电,避雷针,鼠宝可梦,0.4m,6.0kg,190,"['35', '55', '40', '50', '50', '90', '320']"
#0026,#057,雷丘,电,静电,避雷针,鼠宝可梦,0.8m,30.0kg,75,"['60', '90', '55', '90', '80', '110', '485']"
#0063,#058,凯西,超能力,精神力/同步,魔法防守,念力宝可梦,0.9m,19.5kg,200,"['25', '20', '15', '105', '55', '90', '310']"
#0064,#059,勇基拉,超能力,精神力/同步,魔法防守,念力宝可梦,1.3m,56.5kg,100,"['40', '35', '30', '120', '70', '105', '400']"
#0065,#060,胡地,超能力,精神力/同步,魔法防守,念力宝可梦,1.5m,48.0kg,50,"['55', '50', '45', '135', '95', '120', '500']"
#0390,#061,小火焰猴,火,猛火,铁拳,小猴宝可梦,0.5m,6.2kg,45,"['44', '58', '44', '58', '44', '61', '309']"
#0391,#062,猛火猴,火/格斗,猛火,铁拳,顽皮宝可梦,0.9m,22.0kg,45,"['64', '78', '52', '78', '52', '81', '405']"
#0392,#063,烈焰猴,火/格斗,猛火,铁拳,火焰宝可梦,1.2m,55.0kg,45,"['76', '104', '71', '104', '71', '108', '534']"
#0427,#064,卷卷耳,一般,笨拙/逃跑,柔软,兔子宝可梦,0.4m,5.5kg,190,"['55', '66', '44', '44', '56', '85', '350']"
#0428,#065,长耳兔,一般,迷人之躯/笨拙,柔软,兔子宝可梦,1.2m,33.3kg,60,"['65', '76', '84', '54', '96', '105', '480']"
#0420,#066,樱花宝,草,叶绿素,,樱桃宝可梦,0.4m,3.3kg,190,"['45', '35', '45', '62', '53', '35', '275']"
#0421,#067,樱花儿,草,花之礼,,樱花宝可梦,0.5m,9.3kg,75,"['70', '60', '70', '87', '78', '85', '450']"
#0054,#068,可达鸭,水,无关天气/湿气,悠游自如,鸭宝可梦,0.8m,19.6kg,190,"['50', '52', '48', '65', '50', '55', '320']"
#0055,#069,哥达鸭,水,无关天气/湿气,悠游自如,鸭宝可梦,1.7m,76.6kg,75,"['80', '82', '78', '95', '80', '85', '500']"
#0415,#070,三蜜蜂,虫/飞行,采蜜,活力,幼蜂宝可梦,0.3m,5.5kg,120,"['30', '30', '42', '30', '42', '70', '244']"
#0416,#071,蜂女王,虫/飞行,压迫感,紧张感,蜂巢宝可梦,1.2m,38.5kg,45,"['70', '80', '102', '80', '102', '40', '474']"
#0123,#072,飞天螳螂,虫/飞行,蟲之預感/技术高手,不屈之心,螳螂宝可梦,1.5m,56.0kg,45,"['70', '110', '80', '55', '80', '105', '500']"
#0900,#073,劈斧螳螂,虫/岩石,强行/蟲之預感,锋锐,斧钺宝可梦,1.8m,89.0kg,15,"['70', '135', '95', '45', '70', '85', '500']"
#0212,#074,巨钳螳螂,虫/钢,蟲之預感/技术高手,轻金属,钳子宝可梦,1.8m,118.0kg,25,"['70', '130', '100', '55', '80', '65', '500']"
#0214,#075,赫拉克罗斯,虫/格斗,毅力/蟲之預感,自信过度,独角宝可梦,1.5m,54.0kg,45,"['80', '125', '75', '40', '95', '85', '500']"
#0439,#076,魔尼尼,超能力/妖精,隔音/过滤,技术高手,默剧宝可梦,0.6m,13.0kg,145,"['20', '25', '45', '70', '90', '60', '310']"
#0122,#077,魔墙人偶,超能力/妖精,隔音/过滤,技术高手,屏障宝可梦,1.3m,54.5kg,45,"['40', '45', '65', '100', '120', '90', '460']"
#0190,#078,长尾怪手,一般,逃跑/捡拾,连续攻击,长尾宝可梦,0.8m,11.5kg,45,"['55', '70', '55', '40', '55', '85', '360']"
#0424,#079,双尾怪手,一般,技术高手/捡拾,连续攻击,长尾宝可梦,1.2m,20.3kg,45,"['75', '100', '66', '60', '66', '115', '482']"
#0129,#080,鲤鱼王,水,悠游自如,胆怯,鱼宝可梦,0.9m,10.0kg,255,"['20', '10', '55', '15', '20', '80', '200']"
#0130,#081,暴鲤龙,水/飞行,威吓,自信过度,凶恶宝可梦,6.5m,235.0kg,45,"['95', '125', '79', '60', '100', '81', '540']"
#0422,#082,无壳海兔,水,黏着/引水,沙之力,海兔宝可梦,0.3m,6.3kg,190,"['76', '48', '48', '57', '62', '34', '325']"
#0423,#083,海兔兽,水/地面,黏着/引水,沙之力,海兔宝可梦,0.9m,29.9kg,75,"['111', '83', '68', '92', '82', '39', '475']"
#0211,#084,千针鱼,恶/毒,悠游自如/毒刺,威吓,气球宝可梦,0.5m,3.9kg,45,"['65', '95', '85', '55', '55', '85', '440']"
#0904,#085,万针鱼,恶/毒,悠游自如/毒刺,威吓,剑山宝可梦,2.5m,60.5kg,45,"['85', '115', '95', '65', '65', '85', '510']"
#0440,#086,小福蛋,一般,天恩/自然回复,友情防守,家家酒宝可梦,0.6m,24.4kg,130,"['100', '5', '5', '15', '65', '30', '220']"
#0113,#087,吉利蛋,一般,天恩/自然回复,治愈之心,蛋宝可梦,1.1m,34.6kg,30,"['250', '5', '5', '35', '105', '50', '450']"
#0242,#088,幸福蛋,一般,天恩/自然回复,治愈之心,幸福宝可梦,1.5m,46.8kg,30,"['255', '10', '10', '75', '135', '55', '540']"
#0406,#089,含羞苞,草/毒,自然回复/毒刺,叶子防守,花苞宝可梦,0.2m,1.2kg,255,"['40', '30', '35', '50', '70', '55', '280']"
#0315,#090,毒蔷薇,草/毒,自然回复/毒刺,叶子防守,荆棘宝可梦,0.3m,2.0kg,150,"['50', '60', '45', '100', '80', '65', '400']"
#0407,#091,罗丝雷朵,草/毒,自然回复/毒刺,技术高手,花束宝可梦,0.9m,14.5kg,75,"['60', '70', '65', '125', '105', '90', '515']"
#0455,#092,尖牙笼,草,飘浮,,捕虫宝可梦,1.4m,27.0kg,200,"['74', '100', '72', '90', '72', '46', '454']"
#0548,#093,百合根娃娃,草,叶绿素/我行我素,叶子防守,根茎宝可梦,0.5m,6.6kg,190,"['45', '35', '50', '70', '50', '30', '280']"
#0549,#094,裙儿小姐,草/格斗,叶绿素/我行我素,叶子防守,花饰宝可梦,1.1m,16.3kg,75,"['70', '60', '75', '110', '75', '90', '480']"
#0114,#095,蔓藤怪,草,叶绿素/叶子防守,再生力,藤蔓状宝可梦,1.0m,35.0kg,45,"['65', '55', '115', '100', '40', '60', '435']"
#0465,#096,巨蔓藤,草,叶绿素/叶子防守,再生力,藤蔓状宝可梦,2.0m,128.6kg,30,"['100', '100', '125', '110', '50', '50', '535']"
#0339,#097,泥泥鳅,水/地面,迟钝/危险预知,湿润之躯,须鱼宝可梦,0.4m,1.9kg,190,"['50', '48', '43', '46', '41', '60', '288']"
#0340,#098,鲶鱼王,水/地面,迟钝/危险预知,湿润之躯,须鱼宝可梦,0.9m,23.6kg,75,"['110', '78', '73', '76', '71', '60', '468']"
#0453,#099,不良蛙,毒/格斗,危险预知/干燥皮肤,毒手,毒击宝可梦,0.7m,23.0kg,140,"['48', '61', '40', '61', '40', '50', '300']"
#0454,#100,毒骷蛙,毒/格斗,危险预知/干燥皮肤,毒手,毒击宝可梦,1.3m,44.4kg,75,"['83', '106', '65', '86', '65', '85', '490']"
#0280,#101,拉鲁拉丝,超能力/妖精,复制/同步,心灵感应,心情宝可梦,0.4m,6.6kg,235,"['28', '25', '25', '45', '35', '40', '198']"
#0281,#102,奇鲁莉安,超能力/妖精,复制/同步,心灵感应,感情宝可梦,0.8m,20.2kg,120,"['38', '35', '35', '65', '55', '50', '278']"
#0282,#103,沙奈朵,超能力/妖精,复制/同步,心灵感应,包容宝可梦,1.6m,48.4kg,45,"['68', '65', '65', '125', '115', '80', '518']"
#0475,#104,艾路雷朵,超能力/格斗,不屈之心/锋锐,正义之心,利刃宝可梦,1.6m,52.0kg,45,"['68', '125', '65', '65', '115', '80', '518']"
#0193,#105,蜻蜻蜓,虫/飞行,复眼/加速,察觉,薄翼宝可梦,1.2m,38.0kg,75,"['65', '65', '45', '75', '45', '95', '390']"
#0469,#106,远古巨蜓,虫/飞行,有色眼镜/加速,察觉,勾蜓宝可梦,1.9m,51.5kg,30,"['86', '76', '86', '116', '56', '95', '515']"
#0449,#107,沙河马,地面,扬沙,沙之力,河马宝可梦,0.8m,49.5kg,140,"['68', '72', '78', '38', '42', '32', '330']"
#0450,#108,河马兽,地面,扬沙,沙之力,重量宝可梦,2.0m,300.0kg,60,"['108', '112', '118', '68', '72', '47', '525']"
#0417,#109,帕奇利兹,电,逃跑/捡拾,蓄电,电松鼠宝可梦,0.4m,3.9kg,200,"['60', '45', '70', '45', '90', '95', '405']"
#0434,#110,臭鼬噗,毒/恶,引爆/恶臭,锐利目光,臭鼬宝可梦,0.4m,19.2kg,225,"['63', '63', '47', '41', '41', '74', '329']"
#0435,#111,坦克臭鼬,毒/恶,引爆/恶臭,锐利目光,臭鼬宝可梦,1.0m,38.0kg,60,"['103', '93', '67', '71', '61', '84', '479']"
#0216,#112,熊宝宝,一般,飞毛腿/捡拾,采蜜,小熊宝可梦,0.6m,8.8kg,120,"['60', '80', '50', '50', '50', '40', '330']"
#0217,#113,圈圈熊,一般,毅力/飞毛腿,紧张感,冬眠宝可梦,1.8m,125.8kg,60,"['90', '130', '75', '75', '75', '55', '500']"
#0901,#114,月月熊,地面/一般,毅力/防弹,紧张感,泥炭宝可梦,2.4m,290.0kg,20,"['130', '140', '105', '45', '80', '50', '550']"
#0704,#115,黏黏宝,龙,食草/湿润之躯,黏滑,软体生物宝可梦,0.3m,2.8kg,45,"['45', '50', '35', '55', '75', '40', '300']"
#0705,#116,黏美儿,钢/龙,食草/湿润之躯,黏滑,软体生物宝可梦,0.8m,17.5kg,45,"['68', '75', '53', '83', '113', '60', '452']"
#0706,#117,黏美龙,钢/龙,食草/湿润之躯,黏滑,龙宝可梦,2.0m,150.5kg,45,"['90', '100', '70', '110', '150', '80', '600']"
#0095,#118,大岩蛇,岩石/地面,坚硬脑袋/结实,碎裂铠甲,岩蛇宝可梦,8.8m,210.0kg,45,"['35', '45', '160', '30', '45', '70', '385']"
#0208,#119,大钢蛇,钢/地面,坚硬脑袋/结实,强行,铁蛇宝可梦,9.2m,400.0kg,25,"['75', '85', '200', '55', '65', '30', '510']"
#0111,#120,独角犀牛,地面/岩石,坚硬脑袋/避雷针,舍身,尖尖宝可梦,1.0m,115.0kg,120,"['80', '85', '95', '30', '30', '25', '345']"
#0112,#121,钻角犀兽,地面/岩石,坚硬脑袋/避雷针,舍身,钻锥宝可梦,1.9m,120.0kg,60,"['105', '130', '120', '45', '45', '40', '485']"
#0464,#122,超甲狂犀,地面/岩石,坚硬岩石/避雷针,舍身,钻锥宝可梦,2.4m,282.8kg,30,"['115', '140', '130', '55', '55', '40', '535']"
#0438,#123,盆才怪,岩石,坚硬脑袋/结实,胆怯,盆栽宝可梦,0.5m,15.0kg,255,"['50', '80', '95', '10', '45', '10', '290']"
#0185,#124,树才怪,岩石,坚硬脑袋/结实,胆怯,模仿宝可梦,1.2m,38.0kg,65,"['70', '100', '115', '30', '65', '30', '410']"
#0108,#125,大舌头,一般,迟钝/我行我素,无关天气,舔舔宝可梦,1.2m,65.5kg,45,"['90', '55', '75', '60', '75', '30', '385']"
#0463,#126,大舌舔,一般,迟钝/我行我素,无关天气,舔舔宝可梦,1.7m,140.0kg,30,"['110', '85', '95', '80', '95', '50', '515']"
#0175,#127,波克比,妖精,天恩/活力,超幸运,针球宝可梦,0.3m,1.5kg,190,"['35', '20', '65', '40', '65', '20', '245']"
#0176,#128,波克基古,妖精/飞行,天恩/活力,超幸运,幸福宝可梦,0.6m,3.2kg,75,"['55', '40', '85', '80', '105', '40', '405']"
#0468,#129,波克基斯,妖精/飞行,天恩/活力,超幸运,祝福宝可梦,1.5m,38.0kg,30,"['85', '50', '95', '120', '115', '80', '545']"
#0387,#130,草苗龟,草,茂盛,硬壳盔甲,嫩叶宝可梦,0.4m,10.2kg,45,"['55', '68', '64', '45', '55', '31', '318']"
#0388,#131,树林龟,草,茂盛,硬壳盔甲,树丛宝可梦,1.1m,97.0kg,45,"['75', '89', '85', '55', '65', '36', '405']"
#0389,#132,土台龟,草/地面,茂盛,硬壳盔甲,大陆宝可梦,2.2m,310.0kg,45,"['95', '109', '105', '75', '85', '56', '525']"
#0137,#133,多边兽,一般,复制/下载,分析,虚拟宝可梦,0.8m,36.5kg,45,"['65', '60', '70', '85', '75', '40', '395']"
#0233,#134,多边兽Ⅱ,一般,复制/下载,分析,虚拟宝可梦,0.6m,32.5kg,45,"['85', '80', '90', '105', '95', '60', '515']"
#0474,#135,多边兽Ｚ,一般,适应力/下载,分析,虚拟宝可梦,0.9m,34.0kg,30,"['85', '80', '70', '135', '75', '90', '535']"
#0092,#136,鬼斯,幽灵/毒,飘浮,,气体状宝可梦,1.3m,0.1kg,190,"['30', '35', '30', '100', '35', '80', '310']"
#0093,#137,鬼斯通,幽灵/毒,飘浮,,气体状宝可梦,1.6m,0.1kg,90,"['45', '50', '45', '115', '55', '95', '405']"
#0094,#138,耿鬼,幽灵/毒,诅咒之躯,,影子宝可梦,1.5m,40.5kg,45,"['60', '65', '60', '130', '75', '110', '500']"
#0442,#139,花岩怪,幽灵/恶,压迫感,穿透,封印宝可梦,1.0m,108.0kg,100,"['50', '92', '108', '92', '108', '35', '485']"
#0198,#140,黑暗鸦,恶/飞行,不眠/超幸运,恶作剧之心,黑暗宝可梦,0.5m,2.1kg,30,"['60', '85', '42', '85', '42', '91', '405']"
#0430,#141,乌鸦头头,恶/飞行,不眠/超幸运,自信过度,大头目宝可梦,0.9m,27.3kg,30,"['100', '125', '52', '105', '52', '71', '505']"
#0201,#142,未知图腾,超能力,飘浮,,象征宝可梦,0.5m,5.0kg,225,"['48', '72', '48', '72', '48', '48', '336']"
#0363,#143,海豹球,冰/水,厚脂肪/冰冻之躯,迟钝,拍手宝可梦,0.8m,39.5kg,255,"['70', '40', '50', '55', '50', '25', '290']"
#0364,#144,海魔狮,冰/水,厚脂肪/冰冻之躯,迟钝,滚球宝可梦,1.1m,87.6kg,120,"['90', '60', '70', '75', '70', '45', '410']"
#0365,#145,帝牙海狮,冰/水,厚脂肪/冰冻之躯,迟钝,破冰宝可梦,1.4m,150.6kg,45,"['110', '80', '90', '95', '90', '65', '530']"
#0223,#146,铁炮鱼,水,活力/狙击手,心情不定,喷射宝可梦,0.6m,12.0kg,190,"['35', '65', '35', '65', '35', '65', '300']"
#0224,#147,章鱼桶,水,吸盘/狙击手,心情不定,喷射宝可梦,0.9m,28.5kg,75,"['75', '105', '75', '105', '75', '45', '480']"
#0451,#148,钳尾蝎,毒/虫,战斗盔甲/狙击手,锐利目光,蝎子宝可梦,0.8m,12.0kg,120,"['40', '50', '90', '30', '55', '65', '330']"
#0452,#149,龙王蝎,毒/恶,战斗盔甲/狙击手,锐利目光,蝎怪宝可梦,1.3m,61.5kg,45,"['70', '90', '110', '60', '75', '95', '500']"
#0058,#150,卡蒂狗,火/岩石,威吓/引火,正义之心,小狗宝可梦,0.7m,19.0kg,190,"['55', '70', '45', '70', '50', '60', '350']"
#0059,#151,风速狗,火/岩石,威吓/引火,正义之心,传说宝可梦,1.9m,155.0kg,75,"['90', '110', '80', '100', '80', '95', '555']"
#0431,#152,魅力喵,一般,我行我素/柔软,锐利目光,装乖宝可梦,0.5m,3.9kg,190,"['49', '55', '42', '42', '37', '85', '310']"
#0432,#153,东施喵,一般,厚脂肪/我行我素,不服输,虎斑猫宝可梦,1.0m,43.8kg,75,"['71', '82', '64', '64', '59', '112', '452']"
#0066,#154,腕力,格斗,毅力/无防守,不屈之心,怪力宝可梦,0.8m,19.5kg,180,"['70', '80', '50', '35', '35', '35', '305']"
#0067,#155,豪力,格斗,毅力/无防守,不屈之心,怪力宝可梦,1.5m,70.5kg,90,"['80', '100', '70', '50', '60', '45', '405']"
#0068,#156,怪力,格斗,毅力/无防守,不屈之心,怪力宝可梦,1.6m,130.0kg,45,"['90', '130', '80', '65', '85', '55', '505']"
#0441,#157,聒噪鸟,一般/飞行,锐利目光/蹒跚,健壮胸肌,音符宝可梦,0.5m,1.9kg,30,"['76', '65', '45', '92', '42', '91', '411']"
#0355,#158,夜巡灵,幽灵,飘浮,察觉,渡魂宝可梦,0.8m,15.0kg,190,"['20', '40', '90', '30', '90', '25', '295']"
#0356,#159,彷徨夜灵,幽灵,压迫感,察觉,招手宝可梦,1.6m,30.6kg,90,"['40', '70', '130', '60', '130', '25', '455']"
#0477,#160,黑夜魔灵,幽灵,压迫感,察觉,抓握宝可梦,2.2m,106.6kg,45,"['45', '100', '135', '65', '135', '45', '525']"
#0393,#161,波加曼,水,激流,好胜,企鹅宝可梦,0.4m,5.2kg,45,"['53', '51', '53', '61', '56', '40', '314']"
#0394,#162,波皇子,水,激流,好胜,企鹅宝可梦,0.8m,23.0kg,45,"['64', '66', '68', '81', '76', '50', '405']"
#0395,#163,帝王拿波,水/钢,激流,好胜,皇帝宝可梦,1.7m,84.5kg,45,"['84', '86', '88', '111', '101', '60', '530']"
#0458,#164,小球飞鱼,水/飞行,储水/悠游自如,水幕,风筝宝可梦,1.0m,65.0kg,25,"['45', '20', '50', '60', '120', '50', '345']"
#0226,#165,巨翅飞鱼,水/飞行,储水/悠游自如,水幕,风筝宝可梦,2.1m,220.0kg,25,"['85', '40', '70', '80', '140', '70', '485']"
#0550,#166,野蛮鲈鱼,水,舍身/適應力,破格,粗暴宝可梦,1.0m,18.0kg,190,"['70', '92', '65', '80', '55', '98', '460']"
#0902,#167,幽尾玄鱼,水/幽灵,悠游自如/適應力,破格,大鱼宝可梦,3.0m,110.0kg,45,"['120', '112', '65', '80', '75', '78', '530']"
#0037,#168,六尾,火,引火,日照,狐狸宝可梦,0.6m,9.9kg,190,"['38', '41', '40', '50', '65', '65', '299']"
#0037,#168,六尾,冰,引火,日照,狐狸宝可梦,0.6m,9.9kg,190,"['38', '41', '40', '50', '65', '65', '299']"
#0038,#169,九尾,火,引火,日照,狐狸宝可梦,1.1m,19.9kg,75,"['73', '76', '75', '81', '100', '100', '505']"
#0038,#169,九尾,冰/妖精,引火,日照,狐狸宝可梦,1.1m,19.9kg,75,"['73', '76', '75', '81', '100', '100', '505']"
#0072,#170,玛瑙水母,水/毒,污泥浆/恒净之躯,雨盘,水母宝可梦,0.9m,45.5kg,190,"['40', '40', '35', '50', '100', '70', '335']"
#0073,#171,毒刺水母,水/毒,污泥浆/恒净之躯,雨盘,水母宝可梦,1.6m,55.0kg,60,"['80', '70', '65', '80', '120', '100', '515']"
#0456,#172,荧光鱼,水,引水/悠游自如,水幕,飞翅鱼宝可梦,0.4m,7.0kg,190,"['49', '49', '56', '49', '61', '66', '330']"
#0457,#173,霓虹鱼,水,引水/悠游自如,水幕,霓虹宝可梦,1.2m,24.0kg,75,"['69', '69', '76', '69', '86', '91', '460']"
#0240,#174,鸭嘴宝宝,火,火焰之躯,干劲,火种宝可梦,0.7m,21.4kg,45,"['45', '75', '37', '70', '55', '83', '365']"
#0126,#175,鸭嘴火兽,火,火焰之躯,干劲,吐火宝可梦,1.3m,44.5kg,45,"['65', '95', '57', '100', '85', '93', '495']"
#0467,#176,鸭嘴炎兽,火,火焰之躯,干劲,爆炎宝可梦,1.6m,68.0kg,30,"['75', '95', '67', '125', '95', '83', '540']"
#0081,#177,小磁怪,电/钢,磁力/结实,分析,磁铁宝可梦,0.3m,6.0kg,190,"['25', '35', '70', '95', '55', '45', '325']"
