全国编号,地区编号,名称,属性,普通特性,隐藏特性,类别,身高,体重,捕获率,种族值
#0822,#022,蓝鸦,飞行,锐利目光/紧张感,健壮胸肌,乌鸦宝可梦,0.8m,16.0kg,120,"['68', '67', '55', '43', '55', '77', '365']"
#0823,#023,钢铠鸦,飞行/钢,压迫感/紧张感,镜甲,乌鸦宝可梦,2.2m,75.0kg,45,"['98', '87', '105', '53', '85', '67', '495']"
#0819,#024,贪心栗鼠,一般,颊囊,贪吃鬼,贪吃宝可梦,0.3m,2.5kg,255,"['70', '55', '55', '35', '35', '25', '275']"
#0820,#025,藏饱栗鼠,一般,颊囊,贪吃鬼,贪欲宝可梦,0.6m,6.0kg,90,"['120', '95', '95', '55', '75', '20', '460']"
#0519,#026,豆豆鸽,一般/飞行,超幸运/健壮胸肌,斗争心,小鸽宝可梦,0.3m,2.1kg,255,"['50', '55', '50', '36', '30', '43', '264']"
#0520,#027,咕咕鸽,一般/飞行,超幸运/健壮胸肌,斗争心,野鸽宝可梦,0.6m,15.0kg,120,"['62', '77', '62', '50', '42', '65', '358']"
#0521,#028,高傲雉鸡,一般/飞行,超幸运/健壮胸肌,斗争心,自尊心宝可梦,1.2m,29.0kg,45,"['80', '115', '80', '65', '55', '93', '488']"
#0827,#029,偷儿狐,恶,轻装/逃跑,蹲守,狐狸宝可梦,0.6m,8.9kg,255,"['40', '28', '28', '47', '52', '50', '245']"
#0828,#030,狐大盗,恶,轻装/逃跑,蹲守,狐狸宝可梦,1.2m,19.9kg,127,"['70', '58', '58', '87', '92', '90', '455']"
#0263,#031,蛇纹熊,恶/一般,捡拾/贪吃鬼,飞毛腿,豆狸宝可梦,0.4m,17.5kg,255,"['38', '30', '41', '30', '41', '60', '240']"
#0264,#032,直冲熊,恶/一般,捡拾/贪吃鬼,飞毛腿,猛冲宝可梦,0.5m,32.5kg,90,"['78', '70', '61', '50', '61', '100', '420']"
#0862,#033,堵拦熊,恶/一般,毅力/捨身,不服输,停止宝可梦,1.6m,46.0kg,45,"['93', '90', '101', '60', '81', '95', '520']"
#0831,#034,毛辫羊,一般,毛茸茸/逃跑,防弹,绵羊宝可梦,0.6m,6.0kg,255,"['42', '40', '55', '40', '45', '48', '270']"
#0832,#035,毛毛角羊,一般,毛茸茸/不屈之心,防弹,绵羊宝可梦,1.3m,43.0kg,127,"['72', '80', '100', '60', '90', '88', '490']"
#0270,#036,莲叶童子,水/草,悠游自如/雨盘,我行我素,浮萍宝可梦,0.5m,2.6kg,255,"['40', '30', '30', '40', '50', '30', '220']"
#0271,#037,莲帽小童,水/草,悠游自如/雨盘,我行我素,爽朗宝可梦,1.2m,32.5kg,120,"['60', '50', '50', '60', '70', '50', '340']"
#0272,#038,乐天河童,水/草,悠游自如/雨盘,我行我素,乐天宝可梦,1.5m,55.0kg,45,"['80', '70', '70', '90', '100', '70', '480']"
#0273,#039,橡实果,草,叶绿素/早起,顺手牵羊,橡实宝可梦,0.5m,4.0kg,255,"['40', '40', '50', '30', '30', '30', '220']"
#0274,#040,长鼻叶,草/恶,叶绿素/早起,顺手牵羊,捉弄宝可梦,1.0m,28.0kg,120,"['70', '70', '40', '60', '40', '60', '340']"
#0275,#041,狡猾天狗,草/恶,叶绿素/乘风,顺手牵羊,邪恶宝可梦,1.3m,59.6kg,45,"['90', '100', '60', '90', '60', '80', '480']"
#0833,#042,咬咬龟,水,硬壳盔甲/强壮之颚,悠游自如,咬住宝可梦,0.3m,8.5kg,255,"['50', '64', '50', '38', '38', '44', '284']"
#0834,#043,暴噬龟,水/岩石,硬壳盔甲/强壮之颚,悠游自如,紧咬宝可梦,1.0m,115.5kg,75,"['90', '115', '90', '48', '68', '74', '485']"
#0509,#044,扒手猫,恶,轻装/柔软,恶作剧之心,坏心眼宝可梦,0.4m,10.1kg,255,"['41', '50', '37', '50', '37', '66', '281']"
#0510,#045,酷豹,恶,轻装/柔软,恶作剧之心,冷酷宝可梦,1.1m,37.5kg,90,"['64', '88', '50', '88', '50', '106', '446']"
#0835,#046,来电汪,电,捡球,胆怯,小狗宝可梦,0.3m,13.5kg,255,"['59', '45', '50', '40', '50', '26', '270']"
#0836,#047,逐电犬,电,强壮之颚,好胜,狗宝可梦,1.0m,34.0kg,45,"['69', '90', '60', '90', '60', '121', '490']"
#0659,#048,掘掘兔,一般,捡拾/颊囊,大力士,挖洞宝可梦,0.4m,5.0kg,255,"['38', '36', '38', '32', '36', '57', '237']"
#0660,#049,掘地兔,一般/地面,捡拾/颊囊,大力士,挖洞宝可梦,1.0m,42.4kg,127,"['85', '56', '77', '50', '77', '78', '423']"
#0572,#050,泡沫栗鼠,一般,技术高手/迷人之躯,连续攻击,栗鼠宝可梦,0.4m,5.8kg,255,"['55', '50', '40', '40', '40', '75', '300']"
#0573,#051,奇诺栗鼠,一般,技术高手/迷人之躯,连续攻击,围巾宝可梦,0.5m,7.5kg,60,"['75', '95', '60', '65', '60', '115', '470']"
#0761,#052,甜竹竹,草,叶子防守/迟钝,甜幕,水果宝可梦,0.3m,3.2kg,235,"['42', '30', '38', '30', '38', '32', '210']"
#0762,#053,甜舞妮,草,叶子防守/迟钝,甜幕,水果宝可梦,0.7m,8.2kg,120,"['52', '40', '48', '40', '48', '62', '290']"
#0763,#054,甜冷美后,草,女王的威严/叶子防守,甜幕,水果宝可梦,1.2m,21.4kg,45,"['72', '120', '98', '50', '98', '72', '510']"
#0043,#055,走路草,草/毒,叶绿素,逃跑,杂草宝可梦,0.5m,5.4kg,255,"['45', '50', '55', '75', '65', '30', '320']"
#0044,#056,臭臭花,草/毒,叶绿素,恶臭,杂草宝可梦,0.8m,8.6kg,120,"['60', '65', '70', '85', '75', '40', '395']"
#0045,#057,霸王花,草/毒,叶绿素,孢子,花宝可梦,1.2m,18.6kg,45,"['75', '80', '85', '110', '90', '50', '490']"
#0182,#058,美丽花,草,叶绿素,治愈之心,花宝可梦,0.4m,5.8kg,45,"['75', '80', '95', '90', '100', '50', '490']"
#0406,#059,含羞苞,草/毒,自然回复/毒刺,叶子防守,花苞宝可梦,0.2m,1.2kg,255,"['40', '30', '35', '50', '70', '55', '280']"
#0315,#060,毒蔷薇,草/毒,自然回复/毒刺,叶子防守,荆棘宝可梦,0.3m,2.0kg,150,"['50', '60', '45', '100', '80', '65', '400']"
#0407,#061,罗丝雷朵,草/毒,自然回复/毒刺,技术高手,花束宝可梦,0.9m,14.5kg,75,"['60', '70', '65', '125', '105', '90', '515']"
#0278,#062,长翅鸥,水/飞行,锐利目光/湿润之躯,雨盘,海鸥宝可梦,0.6m,9.5kg,190,"['40', '30', '30', '55', '30', '85', '270']"
#0279,#063,大嘴鸥,水/飞行,锐利目光/降雨,雨盘,水鸟宝可梦,1.2m,28.0kg,45,"['60', '50', '100', '95', '70', '65', '440']"
#0595,#064,电电虫,虫/电,紧张感/复眼,蟲之預感,吸附宝可梦,0.1m,0.6kg,190,"['50', '47', '50', '57', '50', '65', '319']"
#0596,#065,电蜘蛛,虫/电,紧张感/复眼,蟲之預感,电蜘蛛宝可梦,0.8m,14.3kg,75,"['70', '77', '60', '97', '60', '108', '472']"
#0309,#066,落雷兽,电,静电/避雷针,负电,闪电宝可梦,0.6m,15.2kg,120,"['40', '45', '40', '65', '40', '65', '295']"
#0310,#067,雷电兽,电,静电/避雷针,负电,放电宝可梦,1.5m,40.2kg,45,"['70', '75', '60', '105', '60', '105', '475']"
#0037,#068,六尾,火,引火,日照,狐狸宝可梦,0.6m,9.9kg,190,"['38', '41', '40', '50', '65', '65', '299']"
#0038,#069,九尾,火,引火,日照,狐狸宝可梦,1.1m,19.9kg,75,"['73', '76', '75', '81', '100', '100', '505']"
#0058,#070,卡蒂狗,火,威吓/引火,正义之心,小狗宝可梦,0.7m,19.0kg,190,"['55', '70', '45', '70', '50', '60', '350']"
#0059,#071,风速狗,火,威吓/引火,正义之心,传说宝可梦,1.9m,155.0kg,75,"['90', '110', '80', '100', '80', '95', '555']"
#0582,#072,迷你冰,冰,雪隐/冰冻之躯,碎裂铠甲,新雪宝可梦,0.4m,5.7kg,255,"['36', '50', '50', '65', '60', '44', '305']"
#0583,#073,多多冰,冰,雪隐/冰冻之躯,碎裂铠甲,冰雪宝可梦,1.1m,41.0kg,120,"['51', '65', '65', '80', '75', '59', '395']"
#0584,#074,双倍多多冰,冰,冰冻之躯/降雪,碎裂铠甲,暴风雪宝可梦,1.3m,57.5kg,45,"['71', '95', '85', '110', '95', '79', '535']"
#0220,#075,小山猪,冰/地面,雪隐/迟钝,厚脂肪,小猪宝可梦,0.4m,6.5kg,225,"['50', '50', '40', '30', '30', '50', '250']"
#0221,#076,长毛猪,冰/地面,雪隐/迟钝,厚脂肪,野猪宝可梦,1.1m,55.8kg,75,"['100', '100', '80', '60', '60', '50', '450']"
#0473,#077,象牙猪,冰/地面,雪隐/迟钝,厚脂肪,双牙宝可梦,2.5m,291.0kg,50,"['110', '130', '80', '70', '60', '80', '530']"
#0225,#078,信使鸟,冰/飞行,干劲/活力,不眠,搬运宝可梦,0.9m,16.0kg,45,"['45', '55', '45', '65', '45', '75', '330']"
#0361,#079,雪童子,冰,精神力/冰冻之躯,心情不定,雪笠宝可梦,0.7m,16.8kg,190,"['50', '50', '50', '50', '50', '50', '300']"
#0362,#080,冰鬼护,冰,精神力/冰冻之躯,心情不定,脸面宝可梦,1.5m,256.5kg,75,"['80', '80', '80', '80', '80', '80', '480']"
#0478,#081,雪妖女,冰/幽灵,雪隐,诅咒之躯,雪国宝可梦,1.3m,26.6kg,75,"['70', '80', '70', '80', '70', '110', '480']"
#0343,#082,天秤偶,地面/超能力,飘浮,,泥偶宝可梦,0.5m,21.5kg,255,"['40', '40', '55', '40', '70', '55', '300']"
#0344,#083,念力土偶,地面/超能力,飘浮,,泥偶宝可梦,1.5m,108.0kg,90,"['60', '70', '105', '70', '120', '75', '500']"
#0749,#084,泥驴仔,地面,我行我素/持久力,精神力,驴宝可梦,1.0m,110.0kg,190,"['70', '100', '70', '45', '55', '45', '385']"
#0750,#085,重泥挽马,地面,我行我素/持久力,精神力,挽马宝可梦,2.5m,920.0kg,60,"['100', '125', '100', '55', '85', '35', '500']"
#0557,#086,石居蟹,虫/岩石,硬壳盔甲/结实,碎裂铠甲,石居宝可梦,0.3m,14.5kg,190,"['50', '65', '85', '35', '35', '55', '325']"
#0558,#087,岩殿居蟹,虫/岩石,硬壳盔甲/结实,碎裂铠甲,岩居宝可梦,1.4m,200.0kg,75,"['70', '105', '125', '65', '75', '45', '485']"
#0622,#088,泥偶小人,地面/幽灵,笨拙/铁拳,无防守,魔像宝可梦,1.0m,92.0kg,190,"['59', '74', '50', '35', '50', '35', '303']"
#0623,#089,泥偶巨人,地面/幽灵,笨拙/铁拳,无防守,魔像宝可梦,2.8m,330.0kg,90,"['89', '124', '80', '55', '80', '55', '483']"
#0517,#090,食梦梦,超能力,预知梦/同步,心灵感应,食梦宝可梦,0.6m,23.3kg,190,"['76', '25', '45', '67', '55', '24', '292']"
#0518,#091,梦梦蚀,超能力,预知梦/同步,心灵感应,半梦半醒宝可梦,1.1m,60.5kg,75,"['116', '55', '85', '107', '95', '29', '487']"
#0177,#092,天然雀,超能力/飞行,同步/早起,魔法镜,小鸟宝可梦,0.2m,2.0kg,190,"['40', '50', '45', '70', '45', '70', '320']"
#0178,#093,天然鸟,超能力/飞行,同步/早起,魔法镜,神秘宝可梦,1.5m,15.0kg,75,"['65', '75', '70', '95', '70', '95', '470']"
#0759,#094,童偶熊,一般/格斗,笨拙/毛茸茸,迷人之躯,抓狂宝可梦,0.5m,6.8kg,140,"['70', '75', '50', '45', '50', '50', '340']"
#0760,#095,穿着熊,一般/格斗,笨拙/毛茸茸,紧张感,强臂宝可梦,2.1m,135.0kg,70,"['120', '125', '80', '55', '60', '60', '500']"
#0459,#096,雪笠怪,草/冰,降雪,隔音,树冰宝可梦,1.0m,50.5kg,120,"['60', '62', '50', '62', '60', '40', '334']"
#0460,#097,暴雪王,草/冰,降雪,隔音,树冰宝可梦,2.2m,135.5kg,60,"['90', '92', '75', '92', '85', '60', '494']"
#0098,#098,大钳蟹,水,硬壳盔甲/怪力钳,强行,清水蟹宝可梦,0.4m,6.5kg,225,"['30', '105', '90', '25', '25', '50', '325']"
#0099,#099,巨钳蟹,水,硬壳盔甲/怪力钳,强行,钳子宝可梦,1.3m,60.0kg,60,"['55', '130', '115', '50', '50', '75', '475']"
#0194,#100,乌波,水/地面,储水/湿气,纯朴,水鱼宝可梦,0.4m,8.5kg,255,"['55', '45', '45', '25', '25', '15', '210']"
#0195,#101,沼王,水/地面,储水/湿气,纯朴,水鱼宝可梦,1.4m,75.0kg,90,"['95', '85', '85', '65', '65', '35', '430']"
#0341,#102,龙虾小兵,水,硬壳盔甲/怪力钳,适应力,无赖宝可梦,0.6m,11.5kg,205,"['43', '80', '65', '50', '35', '35', '308']"
#0342,#103,铁螯龙虾,水/恶,硬壳盔甲/怪力钳,适应力,流氓宝可梦,1.1m,32.8kg,155,"['63', '120', '85', '90', '55', '55', '468']"
#0290,#104,土居忍士,虫/地面,复眼,逃跑,入门宝可梦,0.5m,5.5kg,255,"['31', '45', '90', '30', '30', '40', '266']"
#0291,#105,铁面忍者,虫/飞行,加速,穿透,忍者宝可梦,0.8m,12.0kg,120,"['61', '90', '45', '50', '50', '160', '456']"
#0292,#106,脱壳忍者,虫/幽灵,神奇守护,,空壳宝可梦,0.8m,1.2kg,45,"['1', '90', '45', '30', '30', '40', '236']"
#0236,#107,无畏小子,格斗,毅力/不屈之心,干劲,打斗宝可梦,0.7m,21.0kg,75,"['35', '35', '35', '35', '35', '35', '210']"
#0106,#108,飞腿郎,格斗,舍身/柔软,轻装,踢腿宝可梦,1.5m,49.8kg,45,"['50', '120', '53', '35', '110', '87', '455']"
#0107,#109,快拳郎,格斗,锐利目光/铁拳,精神力,拳击宝可梦,1.4m,50.2kg,45,"['50', '105', '79', '35', '110', '76', '455']"
#0237,#110,战舞郎,格斗,威吓/技术高手,不屈之心,倒立宝可梦,1.4m,48.0kg,45,"['50', '95', '95', '35', '110', '70', '455']"
#0674,#111,顽皮熊猫,格斗,破格/铁拳,胆量,顽皮宝可梦,0.6m,8.0kg,220,"['67', '82', '62', '46', '48', '43', '348']"
#0675,#112,流氓熊猫,格斗/恶,破格/铁拳,胆量,恶颜宝可梦,2.1m,136.0kg,65,"['95', '124', '78', '69', '71', '58', '495']"
#0599,#113,齿轮儿,钢,负电/正电,恒净之躯,齿轮宝可梦,0.3m,21.0kg,130,"['40', '55', '70', '45', '60', '30', '300']"
#0600,#114,齿轮组,钢,负电/正电,恒净之躯,齿轮宝可梦,0.6m,51.0kg,60,"['60', '80', '95', '70', '85', '50', '440']"
#0601,#115,齿轮怪,钢,负电/正电,恒净之躯,齿轮宝可梦,0.6m,81.0kg,30,"['60', '100', '115', '70', '85', '90', '520']"
#0415,#116,三蜜蜂,虫/飞行,采蜜,活力,幼蜂宝可梦,0.3m,5.5kg,120,"['30', '30', '42', '30', '42', '70', '244']"
#0416,#117,蜂女王,虫/飞行,压迫感,紧张感,蜂巢宝可梦,1.2m,38.5kg,45,"['70', '80', '102', '80', '102', '40', '474']"
#0436,#118,铜镜怪,钢/超能力,飘浮/耐热,重金属,青铜宝可梦,0.5m,60.5kg,255,"['57', '24', '86', '24', '86', '23', '300']"
#0437,#119,青铜钟,钢/超能力,飘浮/耐热,重金属,铜钟宝可梦,1.3m,187.0kg,90,"['67', '89', '116', '79', '116', '33', '500']"
#0280,#120,拉鲁拉丝,超能力/妖精,同步/复制,心灵感应,心情宝可梦,0.4m,6.6kg,235,"['28', '25', '25', '45', '35', '40', '198']"
#0281,#121,奇鲁莉安,超能力/妖精,同步/复制,心灵感应,感情宝可梦,0.8m,20.2kg,120,"['38', '35', '35', '65', '55', '50', '278']"
#0282,#122,沙奈朵,超能力/妖精,同步/复制,心灵感应,包容宝可梦,1.6m,48.4kg,45,"['68', '65', '65', '125', '115', '80', '518']"
#0475,#123,艾路雷朵,超能力/格斗,锋锐/不屈之心,正义之心,利刃宝可梦,1.6m,52.0kg,45,"['68', '125', '65', '65', '115', '80', '518']"
#0425,#124,飘飘球,幽灵/飞行,轻装/引爆,受热激升,气球宝可梦,0.4m,1.2kg,125,"['90', '50', '34', '60', '44', '70', '348']"
#0426,#125,随风球,幽灵/飞行,轻装/引爆,受热激升,热气球宝可梦,1.2m,15.0kg,60,"['150', '80', '44', '90', '54', '80', '498']"
#0829,#126,幼棉棉,草,再生力/棉絮,孢子,花饰宝可梦,0.4m,2.2kg,190,"['40', '40', '60', '40', '60', '10', '250']"
#0830,#127,白蓬蓬,草,再生力/棉絮,孢子,棉饰宝可梦,0.5m,2.5kg,75,"['60', '50', '90', '80', '120', '60', '460']"
#0420,#128,樱花宝,草,叶绿素,,樱桃宝可梦,0.4m,3.3kg,190,"['45', '35', '45', '62', '53', '35', '275']"
#0421,#129,樱花儿,草,花之礼,,樱花宝可梦,0.5m,9.3kg,75,"['70', '60', '70', '87', '78', '85', '450']"
#0434,#130,臭鼬噗,毒/恶,恶臭/引爆,锐利目光,臭鼬宝可梦,0.4m,19.2kg,225,"['63', '63', '47', '41', '41', '74', '329']"
#0435,#131,坦克臭鼬,毒/恶,恶臭/引爆,锐利目光,臭鼬宝可梦,1.0m,38.0kg,60,"['103', '93', '67', '71', '61', '84', '479']"
#0535,#132,圆蝌蚪,水,悠游自如/湿润之躯,储水,蝌蚪宝可梦,0.5m,4.5kg,255,"['50', '50', '40', '50', '40', '64', '294']"
#0536,#133,蓝蟾蜍,水/地面,悠游自如/湿润之躯,储水,震动宝可梦,0.8m,17.0kg,120,"['75', '65', '55', '65', '55', '69', '384']"
#0537,#134,蟾蜍王,水/地面,悠游自如/毒手,储水,震动宝可梦,1.5m,62.0kg,45,"['105', '95', '75', '85', '75', '74', '509']"
#0355,#135,夜巡灵,幽灵,飘浮,察觉,渡魂宝可梦,0.8m,15.0kg,190,"['20', '40', '90', '30', '90', '25', '295']"
#0356,#136,彷徨夜灵,幽灵,压迫感,察觉,招手宝可梦,1.6m,30.6kg,90,"['40', '70', '130', '60', '130', '25', '455']"
#0477,#137,黑夜魔灵,幽灵,压迫感,察觉,抓握宝可梦,2.2m,106.6kg,45,"['45', '100', '135', '65', '135', '45', '525']"
#0066,#138,腕力,格斗,毅力/无防守,不屈之心,怪力宝可梦,0.8m,19.5kg,180,"['70', '80', '50', '35', '35', '35', '305']"
#0067,#139,豪力,格斗,毅力/无防守,不屈之心,怪力宝可梦,1.5m,70.5kg,90,"['80', '100', '70', '50', '60', '45', '405']"
#0068,#140,怪力,格斗,毅力/无防守,不屈之心,怪力宝可梦,1.6m,130.0kg,45,"['90', '130', '80', '65', '85', '55', '505']"
#0092,#141,鬼斯,幽灵/毒,飘浮,,气体状宝可梦,1.3m,0.1kg,190,"['30', '35', '30', '100', '35', '80', '310']"
#0093,#142,鬼斯通,幽灵/毒,飘浮,,气体状宝可梦,1.6m,0.1kg,90,"['45', '50', '45', '115', '55', '95', '405']"
#0094,#143,耿鬼,幽灵/毒,诅咒之躯,,影子宝可梦,1.5m,40.5kg,45,"['60', '65', '60', '130', '75', '110', '500']"
#0129,#144,鲤鱼王,水,悠游自如,胆怯,鱼宝可梦,0.9m,10.0kg,255,"['20', '10', '55', '15', '20', '80', '200']"
#0130,#145,暴鲤龙,水/飞行,威吓,自信过度,凶恶宝可梦,6.5m,235.0kg,45,"['95', '125', '79', '60', '100', '81', '540']"
#0118,#146,角金鱼,水,悠游自如/水幕,避雷针,金鱼宝可梦,0.6m,15.0kg,225,"['45', '67', '60', '35', '50', '63', '320']"
#0119,#147,金鱼王,水,悠游自如/水幕,避雷针,金鱼宝可梦,1.3m,39.0kg,60,"['80', '92', '65', '65', '80', '68', '450']"
#0223,#148,铁炮鱼,水,狙击手/活力,心情不定,喷射宝可梦,0.6m,12.0kg,190,"['35', '65', '35', '65', '35', '65', '300']"
#0224,#149,章鱼桶,水,吸盘/狙击手,心情不定,喷射宝可梦,0.9m,28.5kg,75,"['75', '105', '75', '105', '75', '45', '480']"
#0090,#150,大舌贝,水,硬壳盔甲/连续攻击,防尘,双壳贝宝可梦,0.3m,4.0kg,190,"['30', '65', '100', '45', '25', '40', '305']"
#0091,#151,刺甲贝,水/冰,硬壳盔甲/连续攻击,防尘,双壳贝宝可梦,1.5m,132.5kg,60,"['50', '95', '180', '85', '45', '70', '525']"
#0349,#152,丑丑鱼,水,悠游自如/迟钝,适应力,鱼宝可梦,0.6m,7.4kg,255,"['20', '15', '20', '10', '55', '80', '200']"
#0350,#153,美纳斯,水,好胜/神奇鳞片,迷人之躯,慈爱宝可梦,6.2m,162.0kg,60,"['95', '60', '79', '100', '125', '81', '540']"
#0550,#154,野蛮鲈鱼,水,舍身/適應力,破格,粗暴宝可梦,1.0m,18.0kg,190,"['70', '92', '65', '80', '55', '98', '460']"
#0746,#155,弱丁鱼,水,鱼群,,小鱼宝可梦,0.2m,0.3kg,60,"['45', '20', '20', '25', '25', '40', '175']"
#0771,#156,拳海参,水,飞出的内在物,纯朴,海参宝可梦,0.3m,1.2kg,60,"['55', '60', '130', '30', '130', '5', '410']"
#0568,#157,破破袋,毒,恶臭/黏着,引爆,垃圾袋宝可梦,0.6m,31.0kg,190,"['50', '50', '62', '40', '62', '65', '329']"
#0569,#158,灰尘山,毒,恶臭/碎裂铠甲,引爆,垃圾场宝可梦,1.9m,107.3kg,60,"['80', '95', '82', '60', '82', '75', '474']"
#0850,#159,烧火蚣,火/虫,白色煙霧/引火,火焰之躯,发热宝可梦,0.7m,1.0kg,190,"['50', '65', '45', '50', '50', '45', '305']"
#0851,#160,焚焰蚣,火/虫,白色煙霧/引火,火焰之躯,发热宝可梦,3.0m,120.0kg,75,"['100', '115', '65', '90', '90', '65', '525']"
#0837,#161,小炭仔,岩石,蒸汽机/耐热,引火,煤炭宝可梦,0.3m,12.0kg,255,"['30', '40', '50', '40', '50', '30', '240']"
#0838,#162,大炭车,岩石/火,蒸汽机/火焰之躯,引火,煤炭宝可梦,1.1m,78.0kg,120,"['80', '60', '90', '60', '70', '50', '410']"
#0839,#163,巨炭山,岩石/火,蒸汽机/火焰之躯,引火,煤炭宝可梦,2.8m,310.5kg,45,"['110', '80', '120', '80', '90', '30', '510']"
#0050,#164,地鼠,地面,沙隐/沙穴,沙之力,鼹鼠宝可梦,0.2m,0.8kg,255,"['10', '55', '25', '35', '45', '95', '265']"
#0051,#165,三地鼠,地面,沙隐/沙穴,沙之力,鼹鼠宝可梦,0.7m,33.3kg,50,"['35', '100', '50', '50', '70', '120', '425']"
#0529,#166,螺钉地鼠,地面,沙之力/拨沙,破格,鼹鼠宝可梦,0.3m,8.5kg,120,"['60', '85', '40', '30', '45', '68', '328']"
#0530,#167,龙头地鼠,地面/钢,沙之力/拨沙,破格,地底宝可梦,0.7m,40.4kg,60,"['110', '135', '60', '50', '65', '88', '508']"
#0524,#168,石丸子,岩石,结实/碎裂铠甲,沙之力,地幔宝可梦,0.4m,18.0kg,255,"['55', '75', '85', '25', '25', '15', '280']"
#0525,#169,地幔岩,岩石,结实/碎裂铠甲,沙之力,矿石宝可梦,0.9m,102.0kg,120,"['70', '105', '105', '50', '40', '20', '390']"
#0526,#170,庞岩怪,岩石,扬沙/结实,沙之力,高压宝可梦,1.7m,260.0kg,45,"['85', '135', '130', '60', '80', '25', '515']"
#0532,#171,搬运小匠,格斗,毅力/强行,铁拳,筋骨宝可梦,0.6m,12.5kg,180,"['75', '80', '55', '25', '35', '35', '305']"
#0533,#172,铁骨土人,格斗,毅力/强行,铁拳,筋骨宝可梦,1.2m,40.0kg,90,"['85', '105', '85', '40', '50', '40', '405']"
#0534,#173,修建老匠,格斗,毅力/强行,铁拳,筋骨宝可梦,1.4m,87.0kg,45,"['105', '140', '95', '55', '65', '45', '505']"
#0527,#174,滚滚蝙蝠,超能力/飞行,笨拙/纯朴,单纯,蝙蝠宝可梦,0.4m,2.1kg,190,"['65', '45', '43', '55', '43', '72', '323']"
#0528,#175,心蝙蝠,超能力/飞行,笨拙/纯朴,单纯,求爱宝可梦,0.9m,10.5kg,45,"['67', '57', '55', '77', '55', '114', '425']"
#0714,#176,嗡蝠,飞行/龙,穿透/察觉,心灵感应,音波宝可梦,0.5m,8.0kg,190,"['40', '30', '35', '45', '40', '55', '245']"
#0715,#177,音波龙,飞行/龙,穿透/察觉,心灵感应,音波宝可梦,1.5m,85.0kg,45,"['85', '70', '80', '97', '80', '123', '535']"
