全国编号,地区编号（旧）,地区编号（新）,名称,属性,普通特性,隐藏特性,类别,身高,体重,捕获率,种族值
#264,#013,#013,直冲熊,一般,捡拾/贪吃鬼,飞毛腿,猛冲宝可梦,0.5m,32.5kg,90,"['78', '70', '61', '50', '61', '100', '420']"
#265,#014,#014,刺尾虫,蟲,鳞粉,逃跑,虫宝宝宝可梦,0.3m,3.6kg,255,"['45', '45', '35', '20', '30', '20', '195']"
#266,#015,#015,甲壳茧,蟲,蜕皮,,蛹宝可梦,0.6m,10.0kg,120,"['50', '35', '55', '25', '25', '15', '205']"
#267,#016,#016,狩猎凤蝶,蟲/飛行,虫之预感,斗争心,蝴蝶宝可梦,1.0m,28.4kg,45,"['60', '70', '50', '100', '50', '65', '395']"
#268,#017,#017,盾甲茧,蟲,蜕皮,,蛹宝可梦,0.7m,11.5kg,120,"['50', '35', '55', '25', '25', '15', '205']"
#269,#018,#018,毒粉蛾,蟲/毒,鳞粉,复眼,毒蛾宝可梦,1.2m,31.6kg,45,"['60', '50', '70', '50', '90', '65', '385']"
#270,#019,#019,莲叶童子,水/草,雨盘/悠游自如,我行我素,浮萍宝可梦,0.5m,2.6kg,255,"['40', '30', '30', '40', '50', '30', '220']"
#271,#020,#020,莲帽小童,水/草,雨盘/悠游自如,我行我素,爽朗宝可梦,1.2m,32.5kg,120,"['60', '50', '50', '60', '70', '50', '340']"
#272,#021,#021,乐天河童,水/草,雨盘/悠游自如,我行我素,乐天宝可梦,1.5m,55.0kg,45,"['80', '70', '70', '90', '100', '70', '480']"
#273,#022,#022,橡实果,草,早起/叶绿素,顺手牵羊,橡实宝可梦,0.5m,4.0kg,255,"['40', '40', '50', '30', '30', '30', '220']"
#274,#023,#023,长鼻叶,草/惡,早起/叶绿素,顺手牵羊,捉弄宝可梦,1.0m,28.0kg,120,"['70', '70', '40', '60', '40', '60', '340']"
#275,#024,#024,狡猾天狗,草/惡,乘风/叶绿素,顺手牵羊,邪恶宝可梦,1.3m,59.6kg,45,"['90', '100', '60', '90', '60', '80', '480']"
#276,#025,#025,傲骨燕,一般/飛行,毅力,胆量,幼燕宝可梦,0.3m,2.3kg,200,"['40', '55', '30', '30', '30', '85', '270']"
#277,#026,#026,大王燕,一般/飛行,毅力,胆量,燕子宝可梦,0.7m,19.8kg,45,"['60', '85', '60', '75', '50', '125', '455']"
#278,#027,#027,长翅鸥,水/飛行,湿润之躯/锐利目光,雨盘,海鸥宝可梦,0.6m,9.5kg,190,"['40', '30', '30', '55', '30', '85', '270']"
#279,#028,#028,大嘴鸥,水/飛行,降雨/锐利目光,雨盘,水鸟宝可梦,1.2m,28.0kg,45,"['60', '50', '100', '95', '70', '65', '440']"
#280,#029,#029,拉鲁拉丝,超能力/妖精,同步/复制,心灵感应,心情宝可梦,0.4m,6.6kg,235,"['28', '25', '25', '45', '35', '40', '198']"
#281,#030,#030,奇鲁莉安,超能力/妖精,同步/复制,心灵感应,感情宝可梦,0.8m,20.2kg,120,"['38', '35', '35', '65', '55', '50', '278']"
#282,#031,#031,沙奈朵,超能力/妖精,同步/复制,心灵感应,包容宝可梦,1.6m,48.4kg,45,"['68', '65', '65', '125', '115', '80', '518']"
#475,,#032,艾路雷朵,超能力/格斗,不屈之心/锋锐,正义之心,利刃宝可梦,1.6m,52.0kg,45,"['68', '125', '65', '65', '115', '80', '518']"
#283,#032,#033,溜溜糖球,蟲/水,悠游自如,雨盘,水黾宝可梦,0.5m,1.7kg,200,"['40', '30', '32', '50', '52', '65', '269']"
#284,#033,#034,雨翅蛾,蟲/飛行,威吓,紧张感,眼珠宝可梦,0.8m,3.6kg,75,"['70', '60', '62', '100', '82', '80', '454']"
#285,#034,#035,蘑蘑菇,草,毒疗/孢子,飞毛腿,蘑菇宝可梦,0.4m,4.5kg,255,"['60', '40', '60', '40', '60', '35', '295']"
#286,#035,#036,斗笠菇,草/格斗,毒疗/孢子,技术高手,蘑菇宝可梦,1.2m,39.2kg,90,"['60', '130', '80', '60', '60', '70', '460']"
#287,#036,#037,懒人獭,一般,懒惰,,懒人宝可梦,0.8m,24.0kg,255,"['60', '60', '60', '35', '35', '30', '280']"
#288,#037,#038,过动猿,一般,干劲,,暴猿宝可梦,1.4m,46.5kg,120,"['80', '80', '80', '55', '55', '90', '440']"
#289,#038,#039,请假王,一般,懒惰,,怕麻烦宝可梦,2.0m,130.5kg,45,"['150', '160', '100', '95', '65', '100', '670']"
#063,#039,#040,凯西,超能力,同步/精神力,魔法防守,念力宝可梦,0.9m,19.5kg,200,"['25', '20', '15', '105', '55', '90', '310']"
#064,#040,#041,勇基拉,超能力,同步/精神力,魔法防守,念力宝可梦,1.3m,56.5kg,100,"['40', '35', '30', '120', '70', '105', '400']"
#065,#041,#042,胡地,超能力,同步/精神力,魔法防守,念力宝可梦,1.5m,48.0kg,50,"['55', '50', '45', '135', '95', '120', '500']"
#290,#042,#043,土居忍士,蟲/地面,复眼,逃跑,入门宝可梦,0.5m,5.5kg,255,"['31', '45', '90', '30', '30', '40', '266']"
#291,#043,#044,铁面忍者,蟲/飛行,加速,穿透,忍者宝可梦,0.8m,12.0kg,120,"['61', '90', '45', '50', '50', '160', '456']"
#292,#044,#045,脱壳忍者,蟲/幽靈,神奇守护,,空壳宝可梦,0.8m,1.2kg,45,"['1', '90', '45', '30', '30', '40', '236']"
#293,#045,#046,咕妞妞,一般,隔音,胆怯,细语宝可梦,0.6m,16.3kg,190,"['64', '51', '23', '51', '23', '28', '240']"
#294,#046,#047,吼爆弹,一般,隔音,胆量,大声宝可梦,1.0m,40.5kg,120,"['84', '71', '43', '71', '43', '48', '360']"
#295,#047,#048,爆音怪,一般,隔音,胆量,噪音宝可梦,1.5m,84.0kg,45,"['104', '91', '63', '91', '73', '68', '490']"
#296,#048,#049,幕下力士,格斗,毅力/厚脂肪,强行,毅力宝可梦,1.0m,86.4kg,180,"['72', '60', '30', '20', '30', '25', '237']"
#297,#049,#050,铁掌力士,格斗,毅力/厚脂肪,强行,猛推宝可梦,2.3m,253.8kg,200,"['144', '120', '60', '40', '60', '50', '474']"
#118,#050,#051,角金鱼,水,悠游自如/水幕,避雷针,金鱼宝可梦,0.6m,15.0kg,225,"['45', '67', '60', '35', '50', '63', '320']"
#119,#051,#052,金鱼王,水,悠游自如/水幕,避雷针,金鱼宝可梦,1.3m,39.0kg,60,"['80', '92', '65', '65', '80', '68', '450']"
#129,#052,#053,鲤鱼王,水,悠游自如,胆怯,鱼宝可梦,0.9m,10.0kg,255,"['20', '10', '55', '15', '20', '80', '200']"
#130,#053,#054,暴鲤龙,水/飛行,威吓,自信过度,凶恶宝可梦,6.5m,235.0kg,45,"['95', '125', '79', '60', '100', '81', '540']"
#298,#054,#055,露力丽,一般/妖精,大力士/厚脂肪,食草,水珠宝可梦,0.2m,2.0kg,150,"['50', '20', '40', '20', '40', '20', '190']"
#183,#055,#056,玛力露,水/妖精,大力士/厚脂肪,食草,水鼠宝可梦,0.4m,8.5kg,190,"['70', '20', '50', '20', '50', '40', '250']"
#184,#056,#057,玛力露丽,水/妖精,大力士/厚脂肪,食草,水兔宝可梦,0.8m,28.5kg,75,"['100', '50', '80', '60', '80', '50', '420']"
#074,#057,#058,小拳石,岩石/地面,坚硬脑袋/结实,沙隐,岩石宝可梦,0.4m,20.0kg,255,"['40', '80', '100', '30', '30', '20', '300']"
#075,#058,#059,隆隆石,岩石/地面,坚硬脑袋/结实,沙隐,岩石宝可梦,1.0m,105.0kg,120,"['55', '95', '115', '45', '45', '35', '390']"
#076,#059,#060,隆隆岩,岩石/地面,坚硬脑袋/结实,沙隐,重量级宝可梦,1.4m,300.0kg,45,"['80', '120', '130', '55', '65', '45', '495']"
#299,#060,#061,朝北鼻,岩石,磁力/结实,沙之力,罗盘宝可梦,1.0m,97.0kg,255,"['30', '45', '135', '45', '90', '30', '375']"
#476,,#062,大朝北鼻,岩石/钢,磁力/结实,沙之力,罗盘宝可梦,1.4m,340.0kg,60,"['60', '55', '145', '75', '150', '40', '525']"
#300,#061,#063,向尾喵,一般,迷人之躯/一般皮肤,奇迹皮肤,小猫宝可梦,0.6m,11.0kg,255,"['50', '45', '45', '35', '35', '50', '260']"
#301,#062,#064,优雅猫,一般,迷人之躯/一般皮肤,奇迹皮肤,清高宝可梦,1.1m,32.6kg,60,"['70', '65', '65', '55', '55', '90', '400']"
#041,#063,#065,超音蝠,毒/飛行,精神力,穿透,蝙蝠宝可梦,0.8m,7.5kg,255,"['40', '45', '35', '30', '40', '55', '245']"
#042,#064,#066,大嘴蝠,毒/飛行,精神力,穿透,蝙蝠宝可梦,1.6m,55.0kg,90,"['75', '80', '70', '65', '75', '90', '455']"
#169,#065,#067,叉字蝠,毒/飛行,精神力,穿透,蝙蝠宝可梦,1.8m,75.0kg,90,"['85', '90', '80', '70', '80', '130', '535']"
#072,#066,#068,玛瑙水母,水/毒,污泥浆/恒净之躯,雨盘,水母宝可梦,0.9m,45.5kg,190,"['40', '40', '35', '50', '100', '70', '335']"
#073,#067,#069,毒刺水母,水/毒,污泥浆/恒净之躯,雨盘,水母宝可梦,1.6m,55.0kg,60,"['80', '70', '65', '80', '120', '100', '515']"
#302,#068,#070,勾魂眼,惡/幽靈,慢出/锐利目光,恶作剧之心,黑暗宝可梦,0.5m,11.0kg,45,"['50', '75', '75', '65', '65', '50', '380']"
#303,#069,#071,大嘴娃,鋼/妖精,怪力钳/威吓,强行,欺骗宝可梦,0.6m,11.5kg,45,"['50', '85', '85', '55', '55', '50', '380']"
#304,#070,#072,可可多拉,鋼/岩石,结实/坚硬脑袋,重金属,铁铠宝可梦,0.4m,60.0kg,180,"['50', '70', '100', '40', '40', '30', '330']"
#305,#071,#073,可多拉,鋼/岩石,结实/坚硬脑袋,重金属,铁铠宝可梦,0.9m,120.0kg,90,"['60', '90', '140', '50', '50', '40', '430']"
#306,#072,#074,波士可多拉,鋼/岩石,结实/坚硬脑袋,重金属,铁铠宝可梦,2.1m,360.0kg,45,"['70', '110', '180', '60', '60', '50', '530']"
#066,#073,#075,腕力,格斗,毅力/无防守,不屈之心,怪力宝可梦,0.8m,19.5kg,180,"['70', '80', '50', '35', '35', '35', '305']"
#067,#074,#076,豪力,格斗,毅力/无防守,不屈之心,怪力宝可梦,1.5m,70.5kg,90,"['80', '100', '70', '50', '60', '45', '405']"
#068,#075,#077,怪力,格斗,毅力/无防守,不屈之心,怪力宝可梦,1.6m,130.0kg,45,"['90', '130', '80', '65', '85', '55', '505']"
#307,#076,#078,玛沙那,格斗/超能力,瑜伽之力,心灵感应,冥想宝可梦,0.6m,11.2kg,180,"['30', '40', '55', '40', '55', '60', '280']"
#308,#077,#079,恰雷姆,格斗/超能力,瑜伽之力,心灵感应,冥想宝可梦,1.3m,31.5kg,90,"['60', '60', '75', '60', '75', '80', '410']"
#309,#078,#080,落雷兽,電,静电/避雷针,负电,闪电宝可梦,0.6m,15.2kg,120,"['40', '45', '40', '65', '40', '65', '295']"
#310,#079,#081,雷电兽,電,静电/避雷针,负电,放电宝可梦,1.5m,40.2kg,45,"['70', '75', '60', '105', '60', '105', '475']"
#311,#080,#082,正电拍拍,電,正电,避雷針,加油宝可梦,0.4m,4.2kg,200,"['60', '50', '40', '85', '75', '95', '405']"
#312,#081,#083,负电拍拍,電,负电,蓄電,加油宝可梦,0.4m,4.2kg,200,"['60', '40', '50', '75', '85', '95', '405']"
#081,#082,#084,小磁怪,電/鋼,磁力/结实,分析,磁铁宝可梦,0.3m,6.0kg,190,"['25', '35', '70', '95', '55', '45', '325']"
#082,#083,#085,三合一磁怪,電/鋼,磁力/结实,分析,磁铁宝可梦,1.0m,60.0kg,60,"['50', '60', '95', '120', '70', '70', '465']"
#462,,#086,自爆磁怪,電/鋼,磁力/结实,分析,磁场宝可梦,1.2m,180.0kg,30,"['70', '70', '115', '130', '90', '60', '535']"
#100,#084,#087,霹雳电球,電,隔音/静电,引爆,球宝可梦,0.5m,10.4kg,190,"['40', '30', '50', '55', '55', '100', '330']"
#101,#085,#088,顽皮雷弹,電,隔音/静电,引爆,球宝可梦,1.2m,66.6kg,60,"['60', '50', '70', '80', '80', '150', '490']"
#313,#086,#089,电萤虫,蟲,发光/虫之预感,恶作剧之心,萤火虫宝可梦,0.7m,17.7kg,150,"['65', '73', '75', '47', '85', '85', '430']"
#314,#087,#090,甜甜萤,蟲,迟钝/有色眼镜,恶作剧之心,萤火虫宝可梦,0.6m,17.7kg,150,"['65', '47', '75', '73', '85', '85', '430']"
#043,#088,#091,走路草,草/毒,叶绿素,逃跑,杂草宝可梦,0.5m,5.4kg,255,"['45', '50', '55', '75', '65', '30', '320']"
#044,#089,#092,臭臭花,草/毒,叶绿素,恶臭,杂草宝可梦,0.8m,8.6kg,120,"['60', '65', '70', '85', '75', '40', '395']"
#045,#090,#093,霸王花,草/毒,叶绿素,孢子,花宝可梦,1.2m,18.6kg,45,"['75', '80', '85', '110', '90', '50', '490']"
#182,#091,#094,美丽花,草,叶绿素,治愈之心,花宝可梦,0.4m,5.8kg,45,"['75', '80', '95', '90', '100', '50', '490']"
#084,#092,#095,嘟嘟,一般/飛行,逃跑/早起,蹒跚,两头鸟宝可梦,1.4m,39.2kg,190,"['35', '85', '45', '35', '35', '75', '310']"
#085,#093,#096,嘟嘟利,一般/飛行,逃跑/早起,蹒跚,三头鸟宝可梦,1.8m,85.2kg,45,"['60', '110', '70', '60', '60', '110', '470']"
#406,,#097,含羞苞,草/毒,毒刺/自然回复,叶子防守,花苞宝可梦,0.2m,1.2kg,255,"['40', '30', '35', '50', '70', '55', '280']"
#315,#094,#098,毒蔷薇,草/毒,毒刺/自然回复,叶子防守,荆棘宝可梦,0.3m,2.0kg,150,"['50', '60', '45', '100', '80', '65', '400']"
#407,,#099,罗丝雷朵,草/毒,毒刺/自然回复,技术高手,花束宝可梦,0.9m,14.5kg,75,"['60', '70', '65', '125', '105', '90', '515']"
#316,#095,#100,溶食兽,毒,污泥浆/黏着,贪吃鬼,胃袋宝可梦,0.4m,10.3kg,225,"['70', '43', '53', '43', '53', '40', '302']"
#317,#096,#101,吞食兽,毒,污泥浆/黏着,贪吃鬼,毒袋宝可梦,1.7m,80.0kg,75,"['100', '73', '83', '73', '83', '55', '467']"
#318,#097,#102,利牙鱼,水/惡,粗糙皮肤,加速,凶猛宝可梦,0.8m,20.8kg,225,"['45', '90', '20', '65', '20', '65', '305']"
#319,#098,#103,巨牙鲨,水/惡,粗糙皮肤,加速,凶暴宝可梦,1.8m,88.8kg,60,"['70', '120', '40', '95', '40', '95', '460']"
#320,#099,#104,吼吼鲸,水,迟钝/水幕,压迫感,球鲸宝可梦,2.0m,130.0kg,125,"['130', '70', '35', '70', '35', '60', '400']"
#321,#100,#105,吼鲸王,水,迟钝/水幕,压迫感,浮鲸宝可梦,14.5m,398.0kg,60,"['170', '90', '45', '90', '45', '60', '500']"
#322,#101,#106,呆火驼,火/地面,单纯/迟钝,我行我素,迟钝宝可梦,0.7m,24.0kg,255,"['60', '60', '40', '65', '45', '35', '305']"
#323,#102,#107,喷火驼,火/地面,熔岩铠甲/坚硬岩石,愤怒穴位,喷火宝可梦,1.9m,220.0kg,150,"['70', '100', '70', '105', '75', '40', '460']"
#218,#103,#108,熔岩虫,火,火焰之躯/熔岩铠甲,碎裂铠甲,熔岩宝可梦,0.7m,35.0kg,190,"['40', '40', '40', '70', '40', '20', '250']"
#219,#104,#109,熔岩蜗牛,火/岩石,火焰之躯/熔岩铠甲,碎裂铠甲,熔岩宝可梦,0.8m,55.0kg,75,"['60', '50', '120', '90', '80', '30', '430']"
#324,#105,#110,煤炭龟,火,白色煙霧/日照,硬壳盔甲,煤炭宝可梦,0.5m,80.4kg,90,"['70', '85', '140', '85', '70', '20', '470']"
#088,#106,#111,臭泥,毒,恶臭/黏着,毒手,污泥宝可梦,0.9m,30.0kg,190,"['80', '80', '50', '40', '50', '25', '325']"
#089,#107,#112,臭臭泥,毒,恶臭/黏着,毒手,污泥宝可梦,1.2m,30.0kg,75,"['105', '105', '75', '65', '100', '50', '500']"
#109,#108,#113,瓦斯弹,毒,飘浮/化学变化气体,恶臭,毒气宝可梦,0.6m,1.0kg,190,"['40', '65', '95', '60', '45', '35', '340']"
#110,#109,#114,双弹瓦斯,毒,飘浮/化学变化气体,恶臭,毒气宝可梦,1.2m,9.5kg,60,"['65', '90', '120', '85', '70', '60', '490']"
#325,#110,#115,跳跳猪,超能力,我行我素/厚脂肪,贪吃鬼,弹跳宝可梦,0.7m,30.6kg,255,"['60', '25', '35', '70', '80', '60', '330']"
#326,#111,#116,噗噗猪,超能力,我行我素/厚脂肪,贪吃鬼,操纵宝可梦,0.9m,71.5kg,60,"['80', '45', '65', '90', '110', '80', '470']"
#027,#112,#117,穿山鼠,地面,沙隐,拨沙,鼠宝可梦,0.6m,12.0kg,255,"['50', '75', '85', '20', '30', '40', '300']"
#028,#113,#118,穿山王,地面,沙隐,拨沙,鼠宝可梦,1.0m,29.5kg,90,"['75', '100', '110', '45', '55', '65', '450']"
#327,#114,#119,晃晃斑,一般,蹒跚/我行我素,唱反调,斑点熊猫宝可梦,1.1m,5.0kg,255,"['60', '60', '60', '60', '60', '60', '360']"
#227,#115,#120,盔甲鸟,鋼/飛行,锐利目光/结实,碎裂铠甲,钢甲鸟宝可梦,1.7m,50.5kg,25,"['65', '80', '140', '40', '70', '70', '465']"
#328,#116,#121,大颚蚁,地面,沙穴/怪力钳,强行,蚁狮宝可梦,0.7m,15.0kg,255,"['45', '100', '45', '45', '45', '10', '290']"
#329,#117,#122,超音波幼虫,地面/龍,飘浮,,震动宝可梦,1.1m,15.3kg,120,"['50', '70', '50', '50', '50', '70', '340']"
#330,#118,#123,沙漠蜻蜓,地面/龍,飘浮,,神秘宝可梦,2.0m,82.0kg,45,"['80', '100', '80', '80', '80', '100', '520']"
#331,#119,#124,刺球仙人掌,草,沙隐,储水,仙人掌宝可梦,0.4m,51.3kg,190,"['50', '85', '40', '85', '40', '35', '335']"
#332,#120,#125,梦歌仙人掌,草/惡,沙隐,储水,稻草人宝可梦,1.3m,77.4kg,60,"['70', '115', '60', '115', '60', '55', '475']"
#333,#121,#126,青绵鸟,一般/飛行,自然回复,无关天气,绵鸟宝可梦,0.4m,1.2kg,255,"['45', '40', '60', '40', '75', '50', '310']"
#334,#122,#127,七夕青鸟,龍/飛行,自然回复,无关天气,哼唱宝可梦,1.1m,20.6kg,45,"['75', '70', '90', '70', '105', '80', '490']"
#335,#123,#128,猫鼬斩,一般,免疫,中毒激升,猫鼬宝可梦,1.3m,40.3kg,90,"['73', '115', '60', '60', '60', '90', '458']"
#336,#124,#129,饭匙蛇,毒,蜕皮,穿透,牙蛇宝可梦,2.7m,52.5kg,90,"['73', '100', '60', '100', '60', '65', '458']"
#337,#125,#130,月石,岩石/超能力,飘浮,,陨石宝可梦,1.0m,168.0kg,45,"['90', '55', '65', '95', '85', '70', '460']"
#338,#126,#131,太阳岩,岩石/超能力,飘浮,,陨石宝可梦,1.2m,154.0kg,45,"['90', '95', '85', '55', '65', '70', '460']"
#339,#127,#132,泥泥鳅,水/地面,危险预知/迟钝,湿润之躯,须鱼宝可梦,0.4m,1.9kg,190,"['50', '48', '43', '46', '41', '60', '288']"
#340,#128,#133,鲶鱼王,水/地面,危险预知/迟钝,湿润之躯,须鱼宝可梦,0.9m,23.6kg,75,"['110', '78', '73', '76', '71', '60', '468']"
#341,#129,#134,龙虾小兵,水,怪力钳/硬壳盔甲,适应力,无赖宝可梦,0.6m,11.5kg,205,"['43', '80', '65', '50', '35', '35', '308']"
#342,#130,#135,铁螯龙虾,水/惡,怪力钳/硬壳盔甲,适应力,流氓宝可梦,1.1m,32.8kg,155,"['63', '120', '85', '90', '55', '55', '468']"
#343,#131,#136,天秤偶,地面/超能力,飘浮,,泥偶宝可梦,0.5m,21.5kg,255,"['40', '40', '55', '40', '70', '55', '300']"
#344,#132,#137,念力土偶,地面/超能力,飘浮,,泥偶宝可梦,1.5m,108.0kg,90,"['60', '70', '105', '70', '120', '75', '500']"
#345,#133,#138,触手百合,岩石/草,吸盘,引水,海百合宝可梦,1.0m,23.8kg,45,"['66', '41', '77', '61', '87', '23', '355']"
#346,#134,#139,摇篮百合,岩石/草,吸盘,引水,藤壶宝可梦,1.5m,60.4kg,45,"['86', '81', '97', '81', '107', '43', '495']"
#347,#135,#140,太古羽虫,岩石/蟲,战斗盔甲,悠游自如,古虾宝可梦,0.7m,12.5kg,45,"['45', '95', '50', '40', '50', '75', '355']"
#348,#136,#141,太古盔甲,岩石/蟲,战斗盔甲,悠游自如,甲胄宝可梦,1.5m,68.2kg,45,"['75', '125', '100', '70', '80', '45', '495']"
#174,#137,#142,宝宝丁,一般/妖精,迷人之躯/好胜,友情防守,气球宝可梦,0.3m,1.0kg,170,"['90', '30', '15', '40', '20', '15', '210']"
#039,#138,#143,胖丁,一般/妖精,迷人之躯/好胜,友情防守,气球宝可梦,0.5m,5.5kg,170,"['115', '45', '20', '45', '25', '20', '270']"
#040,#139,#144,胖可丁,一般/妖精,迷人之躯/好胜,察觉,气球宝可梦,1.0m,12.0kg,50,"['140', '70', '45', '85', '50', '45', '435']"
#349,#140,#145,丑丑鱼,水,迟钝/悠游自如,适应力,鱼宝可梦,0.6m,7.4kg,255,"['20', '15', '20', '10', '55', '80', '200']"
#350,#141,#146,美纳斯,水,神奇鳞片/好胜,迷人之躯,慈爱宝可梦,6.2m,162.0kg,60,"['95', '60', '79', '100', '125', '81', '540']"
#351,#142,#147,飄浮泡泡,一般,阴晴不定,,天气宝可梦,0.3m,0.8kg,45,"['70', '70', '70', '70', '70', '70', '420']"
#120,#143,#148,海星星,水,发光/自然回复,分析,星形宝可梦,0.8m,34.5kg,225,"['30', '45', '55', '70', '55', '85', '340']"
#121,#144,#149,宝石海星,水/超能力,发光/自然回复,分析,谜宝可梦,1.1m,80.0kg,60,"['60', '75', '85', '100', '85', '115', '520']"
#352,#145,#150,变隐龙,一般,变色,變幻自如,变色宝可梦,1.0m,22.0kg,200,"['60', '90', '70', '60', '120', '40', '440']"
#353,#146,#151,怨影娃娃,幽靈,不眠/察觉,诅咒之躯,人偶宝可梦,0.6m,2.3kg,225,"['44', '75', '35', '63', '33', '45', '295']"
#354,#147,#152,诅咒娃娃,幽靈,不眠/察觉,诅咒之躯,布偶宝可梦,1.1m,12.5kg,45,"['64', '115', '65', '83', '63', '65', '455']"
#355,#148,#153,夜巡灵,幽靈,飘浮,察觉,渡魂宝可梦,0.8m,15.0kg,190,"['20', '40', '90', '30', '90', '25', '295']"
#356,#149,#154,彷徨夜灵,幽靈,压迫感,察觉,招手宝可梦,1.6m,30.6kg,90,"['40', '70', '130', '60', '130', '25', '455']"
#477,,#155,黑夜魔灵,幽靈,压迫感,察觉,抓握宝可梦,2.2m,106.6kg,45,"['45', '100', '135', '65', '135', '45', '525']"
#357,#150,#156,热带龙,草/飛行,太阳之力/叶绿素,收获,水果宝可梦,2.0m,100.0kg,200,"['99', '68', '83', '72', '87', '51', '460']"
#433,,#157,铃铛响,超能力,飘浮,,铃铛宝可梦,0.2m,0.6kg,120,"['45', '30', '50', '65', '50', '45', '285']"
#358,#151,#158,风铃铃,超能力,飘浮,,风铃宝可梦,0.6m,1.0kg,45,"['75', '50', '80', '95', '90', '65', '455']"
#359,#152,#159,阿勃梭鲁,惡,超幸运/压迫感,正义之心,灾祸宝可梦,1.2m,47.0kg,30,"['65', '130', '60', '75', '60', '75', '465']"
#037,#153,#160,六尾,火,引火,日照,狐狸宝可梦,0.6m,9.9kg,190,"['38', '41', '40', '50', '65', '65', '299']"
#038,#154,#161,九尾,火,引火,日照,狐狸宝可梦,1.1m,19.9kg,75,"['73', '76', '75', '81', '100', '100', '505']"
#172,#155,#162,皮丘,電,静电,避雷针,小鼠宝可梦,0.3m,2.0kg,190,"['20', '40', '15', '35', '35', '60', '205']"
#025,#156,#163,皮卡丘,電,静电,避雷针,鼠宝可梦,0.4m,6.0kg,190,"['35', '55', '40', '50', '50', '90', '320']"
#026,#157,#164,雷丘,電,静电,避雷针,鼠宝可梦,0.8m,30.0kg,75,"['60', '90', '55', '90', '80', '110', '485']"
#054,#158,#165,可达鸭,水,湿气/无关天气,悠游自如,鸭宝可梦,0.8m,19.6kg,190,"['50', '52', '48', '65', '50', '55', '320']"
#055,#159,#166,哥达鸭,水,湿气/无关天气,悠游自如,鸭宝可梦,1.7m,76.6kg,75,"['80', '82', '78', '95', '80', '85', '500']"
#360,#160,#167,小果然,超能力,踩影,心灵感应,开朗宝可梦,0.6m,14.0kg,125,"['95', '23', '48', '23', '48', '23', '260']"
#202,#161,#168,果然翁,超能力,踩影,心灵感应,忍耐宝可梦,1.3m,28.5kg,45,"['190', '33', '58', '33', '58', '33', '405']"
#177,#162,#169,天然雀,超能力/飛行,同步/早起,魔法镜,小鸟宝可梦,0.2m,2.0kg,190,"['40', '50', '45', '70', '45', '70', '320']"
#178,#163,#170,天然鸟,超能力/飛行,同步/早起,魔法镜,神秘宝可梦,1.5m,15.0kg,75,"['65', '75', '70', '95', '70', '95', '470']"
#203,#164,#171,麒麟奇,一般/超能力,早起/精神力,食草,长颈宝可梦,1.5m,41.5kg,60,"['70', '80', '65', '90', '65', '85', '455']"
#231,#165,#172,小小象,地面,捡拾,沙隐,长鼻宝可梦,0.5m,33.5kg,120,"['90', '60', '60', '40', '40', '40', '330']"
#232,#166,#173,顿甲,地面,结实,沙隐,铠甲宝可梦,1.1m,120.0kg,60,"['90', '120', '120', '60', '60', '50', '500']"
#127,#167,#174,凯罗斯,蟲,破格/怪力钳,自信过度,锹形虫宝可梦,1.5m,55.0kg,45,"['65', '125', '100', '55', '70', '85', '500']"
