电影,导演,主演,时间,国家,类型,评分,评价人数（人）,评语
30.哈利·波特与魔法石,Chris Columbus,Daniel,2001,美国 英国,奇幻 冒险,9.2,1222662,童话世界的开端。
31.蝙蝠侠：黑暗骑士,克里斯托弗·诺兰 Christopher Nolan,克里斯蒂安·贝尔,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚,9.2,1083270,无尽的黑暗。
32.指环王3：王者无敌,彼得·杰克逊 Peter Jackson,伊利亚·伍德,2003,美国 新西兰,剧情 动作 奇幻 冒险,9.3,819871,史诗的终章。
33.我不是药神,文牧野 Muye Wen,徐峥,2018,中国大陆,剧情 喜剧,9.0,2143838,对我们国家而言，这样的电影多一部是一部。
34.乱世佳人,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,费...,1939,美国,剧情 历史 爱情 战争,9.3,705589,Tomorrow is another day.
35.飞屋环游记,彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,爱德...,2009,美国,剧情 喜剧 动画 冒险,9.1,1352839,最后那些最无聊的事情，才是最值得怀念的。 
36.素媛,李濬益 Jun-ik Lee,薛景求,2013,韩国,剧情,9.3,701041,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
37.十二怒汉,Sidney Lumet,亨利·方达,1957,美国,剧情,9.4,503700,1957年的理想主义。 
38.哈尔的移动城堡,宫崎骏 Hayao Miyazaki,倍赏千惠子,2004,日本,动画 奇幻 冒险,9.1,1049196,带着心爱的人在天空飞翔。
39.何以为家,娜丁·拉巴基 Nadine Labaki,扎因·拉费阿,2018,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,剧情,9.1,1064666,凝视卑弱生命，用电影改变命运。
40.让子弹飞,姜文 Wen Jiang,姜文,2010,中国大陆 中国香港,剧情 喜剧 动作 西部,9.0,1732787,你给我翻译翻译，神马叫做TMD的惊喜。
41.摔跤吧！爸爸,涅提·蒂瓦里 Nitesh Tiwari,阿米尔·汗,2016,印度,剧情 传记 运动 家庭,9.0,1596237,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
42.猫鼠游戏,史蒂文·斯皮尔伯格 Steven Spielberg,莱昂纳多·迪卡普里奥,2002,美国 加拿大,传记 犯罪 剧情,9.1,1053885,骗子大师和执著警探的你追我跑故事。 
43.天空之城,宫崎骏 Hayao Miyazaki,田中真弓,1986,日本,动画 奇幻 冒险,9.2,895911,对天空的追逐，永不停止。 
44.鬼子来了,姜文 Wen Jiang,姜文,2000,中国大陆,剧情 喜剧,9.3,639733,对敌人的仁慈，就是对自己残忍。
45.少年派的奇幻漂流,李安 Ang Lee,苏拉·沙玛,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险,9.1,1371541,瑰丽壮观、无人能及的冒险之旅。
46.海蒂和爷爷,阿兰·葛斯彭纳 Alain Gsponer,阿努克·斯特芬,2015,德国 瑞士,剧情 冒险 家庭,9.3,639324,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
47.钢琴家,罗曼·波兰斯基 Roman Polanski,艾德里安·布洛迪,2002,英国 法国 波兰 德国,剧情 传记 战争 音乐,9.3,657656,音乐能化解仇恨。
48.大话西游之月光宝盒,刘镇伟 Jeffrey Lau,周星驰,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.0,1242568,旷古烁今。
49.指环王2：双塔奇兵,彼得·杰克逊 Peter Jackson,伊利亚·伍德,2002,美国 新西兰,剧情 动作 奇幻 冒险,9.2,769363,承前启后的史诗篇章。
50.闻香识女人,马丁·布莱斯 Martin Brest,阿尔·帕西诺,1992,美国,剧情,9.1,907517,史上最美的探戈。
51.死亡诗社,彼得·威尔 Peter Weir,罗宾·威廉姆斯,1989,美国,剧情,9.2,747177,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
52.绿皮书,彼得·法雷里 Peter Farrelly,维果·莫腾森,2018,美国 中国大陆,剧情 喜剧 传记 音乐,8.9,1685386,去除成见，需要勇气。
53.罗马假日,威廉·惠勒 William Wyler,奥黛丽·赫本,1953,美国,喜剧 剧情 爱情,9.1,965774,爱情哪怕只有一天。
54.大闹天宫,万籁鸣 Laiming Wan,邱岳峰,1978,中国大陆,剧情 动画 奇幻 古装,9.4,448877,经典之作，历久弥新。
55.天堂电影院,朱塞佩·托纳多雷 Giuseppe Tornatore,菲利普·努瓦雷,1988,意大利 法国,剧情 爱情,9.2,689033,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
56.指环王1：护戒使者,彼得·杰克逊 Peter Jackson,伊利亚·伍德,2001,新西兰 美国,剧情 动作 奇幻 冒险,9.1,864447,传说的开始。
57.黑客帝国,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,黑客帝国,1999,美国,动作 科幻,9.1,853576,视觉革命。
58.教父2,弗朗西斯·福特·科波拉 Francis Ford Coppola,阿尔·帕西诺,1974,美国,剧情 犯罪,9.3,565322,优雅的孤独。
59.狮子王,Roger Allers / 罗伯·明可夫 Rob Minkoff,乔纳森·泰勒·托马...,1994,美国,动画 冒险 歌舞,9.1,861276,动物版《哈姆雷特》。
60.辩护人,杨宇硕 Woo-seok Yang,宋康昊,2013,韩国,剧情,9.2,598704,电影的现实意义大过电影本身。
61.饮食男女,李安 Ang Lee,郎雄,1994,中国台湾 美国,剧情 家庭,9.2,634947,人生不能像做菜，把所有的料都准备好了才下锅。
62.搏击俱乐部,大卫·芬奇 David Fincher,爱德华·诺顿,1999,美国,剧情 动作 悬疑 惊悚,9.0,863337,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
63.本杰明·巴顿奇事,大卫·芬奇 David Fincher,凯特·布兰切特,2008,美国,剧情 爱情 奇幻,9.0,1002908,在时间之河里感受溺水之苦。
64.美丽心灵,朗·霍华德 Ron Howard,罗素·克劳,2001,美国,传记 剧情,9.1,783198,爱是一切逻辑和原由。
65.穿条纹睡衣的男孩,马克·赫尔曼 Mark Herman,阿萨·巴特菲尔德,2008,英国 美国,剧情 战争,9.2,578600,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
66.窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,窃听风暴,2006,德国,剧情 悬疑,9.2,575187,别样人生。
67.情书,岩井俊二 Shunji Iwai,中山美穗,1995,日本,剧情 爱情,8.9,1139580,暗恋的极致。
68.两杆大烟枪,盖·里奇 Guy Ritchie,杰森·弗莱明,1998,英国,剧情 喜剧 犯罪,9.1,605651,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
69.西西里的美丽传说,朱塞佩·托纳多雷 Giuseppe Tornatore,莫妮卡·贝鲁奇,2000,意大利 美国,剧情 战争 情色,8.9,993764,美丽无罪。
70.看不见的客人,奥里奥尔·保罗 Oriol Paulo,马里奥·卡萨斯,2016,西班牙,剧情 犯罪 悬疑 惊悚,8.8,1296948,你以为你以为的就是你以为的。
71.音乐之声,罗伯特·怀斯 Robert Wise,朱莉·安德鲁斯,1965,美国,剧情 传记 爱情 歌舞,9.1,614843,用音乐化解仇恨，让歌声串起美好。
72.阿凡达,詹姆斯·卡梅隆 James Cameron,萨姆·沃辛顿,2009,美国,动作 科幻 冒险,8.8,1446042,绝对意义上的美轮美奂。
73.哈利·波特与死亡圣器(下),大卫·叶茨 David Yates,丹尼尔·雷德克里夫,2011,美国 英国,奇幻 冒险,9.0,851200,10年的完美句点。
74.拯救大兵瑞恩,史蒂文·斯皮尔伯格 Steven Spielberg,汤姆·汉克斯,1998,美国,剧情 战争,9.1,659289,美利坚精神输出大片No1.
75.飞越疯人院,米洛斯·福尔曼 Miloš Forman,杰克·尼科尔森,1975,美国,剧情,9.1,556062,自由万岁。
76.小鞋子,马基德·马基迪 Majid Majidi,默罕默德·阿米尔·纳吉,1997,伊朗,剧情 儿童 家庭,9.2,419199,奔跑的孩子是天使。
77.沉默的羔羊,乔纳森·戴米 Jonathan Demme,朱迪·福斯特,1991,美国,剧情 犯罪 惊悚,8.9,909068,安东尼·霍普金斯的顶级表演。
78.布达佩斯大饭店,韦斯·安德森 Wes Anderson,拉尔夫·费因斯,2014,美国 德国 英国,剧情 喜剧 冒险,8.9,960957,小清新的故事里注入了大历史的情怀。
79.功夫,周星驰 Stephen Chow,周星驰,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻,8.8,1163396,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
80.禁闭岛,Martin Scorsese,莱昂纳多·迪卡普里奥,2010,美国,剧情 悬疑 惊悚,8.9,998989,昔日翩翩少年，今日大腹便便。
81.蝴蝶效应,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,蝴蝶效应,2004,美国 加拿大,剧情 悬疑 科幻 惊悚,8.9,957447,人的命运被自己瞬间的抉择改变。
82.致命魔术,克里斯托弗·诺兰 Christopher Nolan,休·杰克曼,2006,英国 美国,剧情 悬疑 惊悚,8.9,877936,孪生蝙蝠侠大战克隆金刚狼。
83.哈利·波特与阿兹卡班的囚徒,Alfonso Cuarón,丹尼尔·雷德克里夫,2004,英国 美国,奇幻 冒险,8.9,752065,不一样的导演，不一样的哈利·波特。
84.心灵捕手,格斯·范·桑特 Gus Van Sant,马特·达蒙,1997,美国,剧情,8.9,729987,人生中应该拥有这样的一段豁然开朗。
85.超脱,托尼·凯耶 Tony Kaye,艾德里安·布洛迪,2011,美国,剧情,9.0,620302,穷尽一生，我们要学会的，不过是彼此拥抱。
86.低俗小说,昆汀·塔伦蒂诺 Quentin Tarantino,约翰·特拉沃尔塔,1994,美国,剧情 喜剧 犯罪,8.9,852096,故事的高级讲法。
87.海豚湾,路易·西霍尤斯 Louie Psihoyos,路易·西霍尤斯,2009,美国,纪录片,9.3,361568,海豚的微笑，是世界上最高明的伪装。
88.摩登时代,查理·卓别林 Charles Chaplin,查理·卓别林,1936,美国,剧情 喜剧 爱情,9.3,308395,大时代中的人生，小人物的悲喜。
89.春光乍泄,王家卫 Kar Wai Wong,张国荣,1997,中国香港 日本 韩国,剧情 爱情 同性,9.0,644293,爱情纠缠，男女一致。
90.美国往事,赛尔乔·莱翁内 Sergio Leone,罗伯特·德尼罗,1984,美国 意大利,犯罪 剧情,9.2,420282,往事如烟，无处祭奠。
91.喜剧之王,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,周星驰,1999,中国香港,喜剧 剧情 爱情,8.8,988610,我是一个演员。
92.致命ID,詹姆斯·曼高德 James Mangold,约翰·库萨克,2003,美国,剧情 悬疑 惊悚,8.9,844147,最不可能的那个人永远是最可能的。
93.杀人回忆,奉俊昊 Joon-ho Bong,宋康昊,2003,韩国,剧情 动作 犯罪 悬疑 惊悚,8.9,732982,关于连环杀人悬案的集体回忆。
94.七宗罪,大卫·芬奇 David Fincher,摩根·弗里曼,1995,美国,剧情 犯罪 悬疑 惊悚,8.8,959233,警察抓小偷，老鼠玩死猫。
95.红辣椒,今敏 Satoshi Kon,林原惠美,2006,日本,动画 悬疑 科幻 惊悚,9.1,479620,梦的勾结。
96.加勒比海盗,戈尔·维宾斯基 Gore Verbinski,约翰尼·德普,2003,美国,动作 冒险 奇幻,8.8,876320,约翰尼·德普的独角戏。
97.哈利·波特与密室,Chris Columbus,丹尼尔·雷德克里夫,2002,英国 美国,奇幻 冒险,8.9,779195,魔法的密室之门已打开...
98.一一,杨德昌 Edward Yang,吴念真,2000,中国台湾 日本,剧情 爱情 家庭,9.1,406804,我们都曾经是一一。
99.狩猎,托马斯·温特伯格 Thomas Vinterberg,麦斯·米科尔森,2012,丹麦 瑞典,剧情,9.1,401923,人言可畏。
100.唐伯虎点秋香,李力持 Lik-Chi Lee,周星驰,1993,中国香港,喜剧 爱情 古装,8.7,1101964,华太师是黄霑，吴镇宇四大才子之一。
101.7号房的礼物,李焕庆 Hwan-kyeong Lee,柳承龙,2013,韩国,剧情 喜剧 家庭,8.9,567973,《我是山姆》的《美丽人生》。
102.被嫌弃的松子的一生,中岛哲也 Tetsuya Nakashima,中谷美纪,2006,日本,剧情 歌舞,8.9,714553,以戏谑来戏谑戏谑。
103.蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰 Christopher Nolan,克里斯蒂安·贝尔,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚,8.9,737458,诺兰就是保证。
104.请以你的名字呼唤我,卢卡·瓜达尼诺 Luca Guadagnino,艾米·汉莫,2017,意大利 法国 巴西 美国,剧情 爱情 同性,8.8,737221,沉醉在电影的情感和视听氛围中无法自拔。
105.爱在黎明破晓前,理查德·林克莱特 Richard Linklater,伊桑·霍克,1995,美国 奥地利 瑞士,剧情 爱情,8.8,700215,缘分是个连绵词，最美不过一瞬。
106.剪刀手爱德华,蒂姆·波顿 Tim Burton,约翰尼·德普,1990,美国,剧情 奇幻 爱情,8.7,1049479,浪漫忧郁的成人童话。
107.断背山,李安 Ang Lee,希斯·莱杰,2005,美国 加拿大,剧情 爱情 同性 家庭,8.8,717668,每个人心中都有一座断背山。
108.入殓师,泷田洋二郎 Yôjirô Takita,本木雅弘,2008,日本,剧情,8.9,680099,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
109.第六感,M·奈特·沙马兰 M. Night Shyamalan,布鲁斯·威利斯,1999,美国,剧情 悬疑 惊悚,8.9,567658,深入内心的恐怖，出人意料的结局。
110.重庆森林,王家卫 Kar Wai Wong,林青霞,1994,中国香港,剧情 爱情,8.8,827706,寂寞没有期限。
111.勇敢的心,梅尔·吉布森 Mel Gibson,梅尔·吉布森,1995,美国,动作 传记 剧情 历史 战争,8.9,565643,史诗大片的典范。
112.超能陆战队,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,斯科特...,2014,美国,喜剧 动作 科幻 动画 冒险,8.7,1035440,Balalala~~~
113.甜蜜蜜,陈可辛 Peter Chan,黎明,1996,中国香港,剧情 爱情,8.9,571116,相逢只要一瞬间，等待却像是一辈子。
114.幽灵公主,宫崎骏 Hayao Miyazaki,松田洋治,1997,日本,动画 奇幻 冒险,8.9,534215,人与自然的战争史诗。
115.爱在日落黄昏时,理查德·林克莱特 Richard Linklater,伊桑·霍克,2004,美国 法国,剧情 爱情,8.9,575388,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
116.菊次郎的夏天,北野武 Takeshi Kitano,北野武,1999,日本,剧情 喜剧,8.9,607593,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
117.借东西的小人阿莉埃蒂,米林宏昌 Hiromasa Yonebayashi,志田未来,2010,日本,动画 奇幻 冒险,8.9,565214,曾经的那段美好会沉淀为一辈子的记忆。
118.寄生虫,奉俊昊 Joon-ho Bong,宋康昊,2019,韩国,剧情,8.8,1396324,无
119.消失的爱人,大卫·芬奇 David Fincher,本·阿弗莱克,2014,美国,剧情 犯罪 悬疑 惊悚,8.7,974954,年度最佳date movie。
120.阳光灿烂的日子,姜文 Wen Jiang,夏雨,1994,中国大陆 中国香港,剧情 爱情,8.8,625516,一场华丽的意淫。
121.天使爱美丽,让-皮埃尔·热内 Jean-Pierre Jeunet,奥黛丽·塔图,2001,法国 德国,剧情 喜剧 爱情,8.7,964501,法式小清新。 
122.完美的世界,克林特·伊斯特伍德 Clint Eastwood,凯文·科斯特纳,1993,美国,剧情 犯罪,9.1,321953,坏人的好总是比好人的好来得更感人。
123.小森林 夏秋篇,森淳一 Junichi Mori,桥本爱,2014,日本,剧情,9.0,433026,那些静得只能听见呼吸的日子里，你明白孤独即生活。
124.倩女幽魂,程小东 Siu-Tung Ching,张国荣,1987,中国香港,爱情 奇幻 武侠 古装,8.8,751124,两张绝世的脸。 
125.无人知晓,是枝裕和 Hirokazu Koreeda,柳乐优弥,2004,日本,剧情,9.1,326048,我的平常生活就是他人的幸福。
126.时空恋旅人,理查德·柯蒂斯 Richard Curtis,多姆纳尔·格里森,2013,英国,喜剧 爱情 奇幻,8.8,691477,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
127.侧耳倾听,近藤喜文 Yoshifumi Kondo,本名阳子,1995,日本,剧情 爱情 动画,8.9,472125,少女情怀总是诗。
128.未麻的部屋,今敏 Satoshi Kon,岩男润子,1997,日本,动画 奇幻 惊悚,9.1,347518,好的剧本是，就算你猜到了结局也猜不到全部。
129.哈利·波特与火焰杯,迈克·内威尔 Mike Newell,丹尼尔·雷德克里夫,2005,英国 美国,悬疑 奇幻 冒险,8.8,680029,无
130.驯龙高手,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,...,2010,美国,动画 奇幻 冒险,8.8,770591,和谐的生活离不开摸头与被摸头。
131.幸福终点站,史蒂文·斯皮尔伯格 Steven Spielberg,汤姆·汉克斯,2004,美国,喜剧 剧情 爱情,8.8,582807,有时候幸福需要等一等。 
132.小森林 冬春篇,森淳一 Junichi Mori,桥本爱,2015,日本,剧情,9.0,385602,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
133.一个叫欧维的男人决定去死,汉内斯·赫尔姆 Hannes Holm,罗夫·拉斯加德,2015,瑞典,剧情,8.9,496180,惠及一生的美丽。
134.教父3,弗朗西斯·福特·科波拉 Francis Ford Coppola,阿尔·帕西诺,1990,美国,剧情 犯罪,9.0,382976,任何信念的力量，都无法改变命运。
135.怪兽电力公司,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,约...,2001,美国,儿童 喜剧 动画 奇幻 冒险,8.8,688507,不要给它起名字，起了名字就有感情了。
136.玩具总动员3,李·昂克里奇 Lee Unkrich,汤姆·汉克斯,2010,美国,喜剧 动画 奇幻 冒险,8.9,529703,跨度十五年的欢乐与泪水。
137.傲慢与偏见,乔·怀特 Joe Wright,凯拉·奈特莉,2005,法国 英国 美国,剧情 爱情,8.7,819154,爱是摈弃傲慢与偏见之后的曙光。
138.新世界,朴勋政 Hoon-jung Park,李政宰,2013,韩国,剧情 犯罪,8.9,450680,要做就做得狠一点，这样才能活下去。
139.萤火之森,大森贵弘 Takahiro Omori,佐仓绫音,2011,日本,剧情 爱情 动画 奇幻,8.9,550929,触不到的恋人。
140.釜山行,延尚昊 Sang-ho Yeon,孔侑,2016,韩国,动作 惊悚 灾难,8.6,1222032,揭露人性的丧尸题材力作。
141.被解救的姜戈,昆汀·塔伦蒂诺 Quentin Tarantino,杰米·福克斯,2012,美国,剧情 动作 西部 冒险,8.8,621227,热血沸腾，那个低俗、性感的无耻混蛋又来了。
142.神偷奶爸,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,...,2010,美国 法国,喜剧 动画 冒险,8.7,962914,Mr. I Don't Care其实也有Care的时候。
143.茶馆,谢添 Tian Xie,于是之,1982,中国大陆,剧情 历史,9.6,155556,无
144.告白,中岛哲也 Tetsuya Nakashima,松隆子,2010,日本,剧情 悬疑,8.8,682009,没有一人完全善，也没有一人完全恶。
145.玛丽和马克思,亚当·艾略特 Adam Elliot,托妮·科莱特,2009,澳大利亚 美国,剧情 喜剧 动画,9.0,426526,你是我最好的朋友，你是我唯一的朋友 。
146.哪吒闹海,王树忱 Shuchen Wang / 严定宪 Dingxian Yan,梁正晖,1979,中国大陆,冒险 动画 奇幻,9.2,265559,想你时你在闹海。
147.大鱼,蒂姆·波顿 Tim Burton,伊万·麦克格雷格,2003,美国,剧情 家庭 奇幻 冒险,8.8,577648,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
148.色，戒,李安 Ang Lee,梁朝伟,2007,中国台湾 中国大陆 美国 中国香港,剧情 爱情 情色,8.7,832766,假戏真情，爱欲深海
149.九品芝麻官,王晶 Jing Wong,周星驰,1994,中国香港 中国大陆,剧情 喜剧 古装,8.7,697544,无
150.喜宴,李安 Ang Lee,赵文瑄,1993,中国台湾 美国,剧情 喜剧 爱情 同性 家庭,9.0,372501,中国家庭的喜怒哀乐忍。
151.模仿游戏,莫滕·泰杜姆 Morten Tyldum,本尼迪克特·康伯巴奇,2014,英国 美国,剧情 传记 战争 同性,8.8,659742,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
152.头号玩家,史蒂文·斯皮尔伯格 Steven Spielberg,泰伊·谢里丹,2018,美国,动作 科幻 冒险,8.7,1390854,写给影迷，动漫迷和游戏迷的一封情书。
153.射雕英雄传之东成西就,刘镇伟 Jeffrey Lau,梁朝伟,1993,中国香港,喜剧 奇幻 武侠 古装,8.7,649513,百看不厌。 
154.花样年华,王家卫 Kar Wai Wong,梁朝伟,2000,中国香港,剧情 爱情,8.8,622733,偷情本没有这样美。
155.我是山姆,杰茜·尼尔森 Jessie Nelson,Sean,2001,美国,剧情 家庭,9.0,344530,爱并不需要智商 。
156.头脑特工队,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,头脑特工队,2015,美国,喜剧 动画 冒险,8.8,630161,愿我们都不用长大，每一座城堡都能永远存在。
157.阳光姐妹淘,姜炯哲 Hyeong-Cheol Kang,沈恩京,2011,韩国,剧情 喜剧,8.8,597397,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
158.七武士,黑泽明 Akira Kurosawa,三船敏郎,1954,日本,动作 冒险 剧情,9.3,202778,时代悲歌。
159.血战钢锯岭,梅尔·吉布森 Mel Gibson,安德鲁·加菲尔德,2016,澳大利亚 美国,剧情 传记 历史 战争,8.7,794539,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
160.恐怖直播,金秉祐 Byeong-woo Kim,河正宇,2013,韩国,剧情 犯罪 悬疑,8.7,663999,恐怖分子的“秋菊打官司”。
161.惊魂记,阿尔弗雷德·希区柯克 Alfred Hitchcock,安东尼·博金斯,1960,美国,悬疑 惊悚 恐怖,9.0,304151,故事的反转与反转，分裂电影的始祖。
162.黑客帝国3：矩阵革命,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,黑客帝国3：矩阵革命,2003,美国,动作 科幻,8.8,454658,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
163.你的名字。,新海诚 Makoto Shinkai,神木隆之介,2016,日本,剧情 爱情 动画,8.5,1434303,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
164.电锯惊魂,詹姆斯·温 James Wan,雷·沃纳尔,2004,美国,悬疑 惊悚 恐怖,8.7,546771,真相就在眼前。
165.三块广告牌,马丁·麦克唐纳 Martin McDonagh,弗兰西斯·麦克多蒙德,2017,英国 美国,剧情 犯罪,8.7,834660,怼天怼地，你走后，她与世界为敌。
